aser2024_name,pct_6_14_govt_school,pct_6_14_not_in_school,std3_5_read_std2_pct,std3_5_atleast_subtraction_pct,std6_8_read_std2_pct,std6_8_division_pct
Bagalkot,72.8,0.5,20.8,39.3,57.5,46.6
Belgaum,76.4,0.1,19.1,29.4,36.8,24.8
Bellary,70.6,0.7,16.9,22.4,35.9,19.1
Bengaluru Rural,63.1,0.0,17.3,44.7,52.4,40.8
Bengaluru Urban,45.6,0.0,17.6,49.7,56.4,46.2
Bidar,64.6,0.7,16.3,35.4,43.6,33.0
Chamarajanagar,75.0,0.0,30.4,45.0,62.0,35.3
Chikkaballapur,70.7,0.2,15.2,36.9,44.8,28.3
Chikkamagaluru,73.0,0.0,46.0,53.2,76.9,49.9
Chitradurga,80.1,0.0,18.9,52.2,48.8,36.5
Dakshina Kannada,60.4,0.0,50.0,58.9,74.7,40.8
Davanagere,70.5,0.1,23.7,43.7,52.4,27.0
Dharwad,73.8,0.0,21.6,28.2,58.6,38.5
Gadag,83.9,0.0,27.9,35.9,54.3,31.1
Hassan,61.9,0.2,39.4,59.6,71.0,46.4
Haveri,74.5,0.1,31.1,38.8,50.2,32.9
Kalaburagi,77.9,0.7,20.0,24.2,49.6,27.7
Kodagu,52.0,0.9,45.3,43.7,74.1,39.6
Kolar,70.7,0.0,20.1,45.8,43.5,34.6
Koppal,83.7,0.1,32.3,48.3,53.3,33.4
Mandya,61.4,0.0,31.3,43.1,52.2,27.4
Mysuru,57.8,0.7,23.8,38.6,52.4,33.1
Raichur,87.8,0.5,11.7,19.5,34.6,18.5
Ramanagara,56.7,0.0,29.2,57.1,61.3,38.2
Shivamogga,70.9,0.2,39.5,51.3,62.4,38.8
Tumakuru,70.6,0.7,30.8,44.4,57.3,34.1
Udupi,55.6,0.0,57.8,80.6,85.9,64.2
Uttara Kannada,78.5,0.0,66.4,75.7,82.9,61.0
Vijayapura,63.3,1.2,21.8,33.3,53.6,33.4
Yadgir,86.0,0.7,9.5,37.1,48.4,22.8
