district_code,district_name,cd_block_code,name,total_rural_urban,no_of_households,total_population_person,total_population_male,total_population_female,population_in_the_age_group_0_6_person,scheduled_castes_population_person,scheduled_tribes_population_person,literates_population_person,literates_population_male,literates_population_female,total_worker_population_person,main_cultivator_population_person,main_agricultural_labourers_population_person,marginal_worker_population_person,rural_population,literacy_rate_7plus,male_female_literacy_gap_pp,sex_ratio,sc_pct,st_pct,child_0_6_pct,work_participation_rate,agri_labour_share_of_workers,marginal_worker_share,rural_share_pct
566,Chitradurga,0071,Molakalmuru,Total,24202,125487,64095,61392,16815,25810,50797,69256,41264,27992,65746,20103,21796,9680,125487,63.73,19.16,957.8,20.57,40.48,13.4,52.39,63.73,14.72,100.0
570,Chikmagalur,0093,Sringeri,Total,8148,32617,16044,16573,2606,3940,2917,25610,13233,12377,13592,4283,3356,1354,32617,85.34,3.34,1033.0,12.08,8.94,7.99,41.67,56.2,9.96,100.0
575,Dakshina Kannada,0129,Mangalore,Total,83789,405156,199044,206112,40024,22702,8077,324015,166775,157240,193865,8815,6338,17489,210033,88.74,2.94,1035.5,5.6,1.99,9.88,47.85,7.82,9.02,51.84
579,Gulbarga,0148,Aland,Total,54128,299836,154167,145669,41000,79777,6508,160854,96790,64064,144724,34912,51232,36255,299836,62.15,20.35,944.9,26.61,2.17,13.67,48.27,59.52,25.05,100.0
577,Mysore,0137,Piriyapatna,Total,50044,226391,116471,109920,23408,40342,18820,142174,81932,60242,112269,59540,20555,16993,226391,70.04,15.26,943.8,17.82,8.31,10.34,49.59,71.34,15.14,100.0
581,Kolar,0158,Srinivaspur,Total,37719,175511,88467,87044,17829,53184,20815,109656,62674,46982,97110,37466,24040,16437,175511,69.54,14.31,983.9,30.3,11.86,10.16,55.33,63.34,16.93,100.0
561,Gadag,0036,Nargund,Total,12639,64332,32923,31409,8047,5858,3599,41645,24448,17197,32935,14197,9157,5810,64332,73.99,17.41,954.0,9.11,5.59,12.51,51.2,70.91,17.64,100.0
557,Bijapur,0017,Bijapur,Total,72613,393648,202002,191646,59679,103280,4491,205720,122904,82816,174975,56649,54088,34914,393648,61.6,19.49,948.7,26.24,1.14,15.16,44.45,63.29,19.95,100.0
555,Belgaum,0001,Chikodi,Total,105546,503838,257240,246598,60405,79350,5723,328006,187985,140021,261927,100144,53747,56994,503838,73.97,14.62,958.6,15.75,1.14,11.99,51.99,58.75,21.76,100.0
563,Uttara Kannada,0046,Karwar,Total,23961,91458,46041,45417,8825,3569,551,72379,38998,33381,35112,2238,1471,10222,73671,87.59,7.76,986.4,3.9,0.6,9.65,38.39,10.56,29.11,80.55
565,Bellary,0064,Hadagalli,Total,33008,167252,84819,82433,22408,49925,12917,101708,58689,43019,84815,18831,38146,16918,167252,70.22,15.41,971.9,29.85,7.72,13.4,50.71,67.18,19.95,100.0
584,Ramanagara,0173,Magadi,Total,42987,176236,88784,87452,16331,37227,5475,110468,63022,47446,95100,43431,10962,20860,167122,69.08,14.1,985.0,21.12,3.11,9.27,53.96,57.2,21.93,94.83
583,Bangalore Rural,0169,Nelamangala,Total,42152,173657,88664,84993,18350,40650,7482,118980,66730,52250,78145,22500,8341,11503,163090,76.61,12.17,958.6,23.41,4.31,10.57,45.0,39.47,14.72,93.92
568,Shimoga,0083,Sagar,Total,32660,140922,69798,71124,14049,14033,3326,97510,53177,44333,73974,30270,15592,12047,140922,76.86,9.07,1019.0,9.96,2.36,9.97,52.49,62.0,16.29,100.0
