name,district_name,total_population_person,literacy_rate_7plus,sex_ratio,sc_pct,st_pct,work_participation_rate,agri_labour_share_of_workers,marginal_worker_share,male_female_literacy_gap_pp,block_universe_note
Bagalkot,Bagalkot,1889752,68.82,989,18.26,6.21,45.97,62.69,18.55,18.18,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Bangalore,Bangalore,9621551,87.67,916,20.57,3.07,47.32,18.15,11.03,16.01,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Bangalore Rural,Bangalore Rural,990923,77.93,946,24.61,6.08,48.34,47.11,16.35,13.64,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Belgaum,Belgaum,4779661,73.48,973,12.42,6.98,46.61,61.14,19.19,15.36,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Bellary,Bellary,2452595,67.43,983,23.56,21.61,50.35,66.13,14.56,18.26,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Bidar,Bidar,1703300,70.51,956,25.92,16.68,44.26,55.78,22.68,16.42,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Bijapur,Bijapur,2177331,67.15,960,21.73,1.89,45.4,64.63,18.12,20.43,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Chamarajanagar,Chamarajanagar,1020791,61.43,993,26.21,11.4,48.99,60.33,21.93,12.11,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Chikkaballapura,Chikkaballapura,1255104,69.76,972,27.73,14.13,53.98,64.22,16.68,15.08,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Chikmagalur,Chikmagalur,1137961,79.25,1008,24.31,4.47,52.63,46.53,15.73,8.33,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Chitradurga,Chitradurga,1659456,73.71,974,25.09,19.88,54.9,60.04,23.47,13.57,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
Dakshina Kannada,Dakshina Kannada,2089649,88.57,1020,8.17,5.07,50.85,7.57,9.18,4.89,"sc/st/worker/lit-gap columns computed over CD-block universe (rural + census towns, ~64% of state pop); pop/literacy/sex_ratio are full-district verified values"
