grade,4,4,4,5,5,5,6,6,6,,
year,2022-23,2023-24,2024-25,2022-23,2023-24,2024-25,2022-23,2023-24,2024-25,FILES,ITEMS
competency,,,,,,,,,,,
number sense,3,2,4,2,2,3,3,3,3,9,25
place value,1,2,1,1,1,1,0,0,1,7,8
addition,2,2,2,2,2,2,4,2,2,9,20
subtraction,2,2,2,2,2,2,3,3,3,9,21
multiplication,3,3,3,3,2,2,2,3,3,9,24
division,3,2,3,3,2,2,2,2,2,9,21
fraction,1,1,0,1,1,0,1,1,0,6,6
measurement,3,4,3,4,5,5,3,2,2,9,31
mensuration,0,0,0,0,0,0,0,0,1,1,1
shapes,2,1,2,2,2,2,2,3,2,9,18
data handling,0,1,0,0,1,1,0,1,1,5,5
