Year,GP_ID,canonical_district,block_id,cluster_id,District,Block,Cluster,GP,block_name,block_district,cluster_name,gp_name
2022-23,648,Belagavi,B0011,C0045,belagavi,bailhongal,ambadgatti,ambadgatti,bailhongal,Belagavi,ambadgatti,ambadgatti
2022-23,1758,Belagavi,B0011,C0130,belagavi,bailhongal,bailur,degaon,bailhongal,Belagavi,bailur,degaon
2022-23,5854,Belagavi,B0011,C0194,belagavi,bailhongal,belavadi,udakeri,bailhongal,Belagavi,belavadi,udakeri
2022-23,1407,Belagavi,B0011,C0270,belagavi,bailhongal,budarkatti,budarkatti,bailhongal,Belagavi,budarkatti,budarkatti
2022-23,1560,Belagavi,B0011,C0325,belagavi,bailhongal,chikkabagewadi,chikka bagewadi,bailhongal,Belagavi,chikkabagewadi,chikka bagewadi
2022-23,2380,Belagavi,B0011,C0590,belagavi,bailhongal,hanabarhatti,hanabaratti,bailhongal,Belagavi,hanabarhatti,hanabaratti
2022-23,3192,Belagavi,B0011,C0701,belagavi,bailhongal,hosa kadarvalli,kadrolli,bailhongal,Belagavi,hosa kadarvalli,kadrolli
2022-23,2672,Belagavi,B0011,C0848,belagavi,bailhongal,kalbhavi,hirenandihalli,bailhongal,Belagavi,kalbhavi,hirenandihalli
2022-23,1758,Belagavi,B0011,C1022,belagavi,bailhongal,kulavalli,degaon,bailhongal,Belagavi,kulavalli,degaon
2022-23,3862,Belagavi,B0011,C1022,belagavi,bailhongal,kulavalli,kulavalli,bailhongal,Belagavi,kulavalli,kulavalli
2022-23,5188,Belagavi,B0011,C1436,belagavi,bailhongal,sampagaon,sampgaon,bailhongal,Belagavi,sampagaon,sampgaon
2022-23,1097,Belagavi,B0017,C0575,belagavi,belgaum rural,halga,bastwad,belgaum rural,Belagavi,halga,bastwad
2022-23,4351,Belagavi,B0017,C0575,belagavi,belgaum rural,halga,mastamardi,belgaum rural,Belagavi,halga,mastamardi
2022-23,2738,Belagavi,B0017,C0888,belagavi,belgaum rural,kangrali bk,honga,belgaum rural,Belagavi,kangrali bk,honga
2022-23,3373,Belagavi,B0017,C0888,belagavi,belgaum rural,kangrali bk,kangrali b.k.,belgaum rural,Belagavi,kangrali bk,kangrali b.k.
2022-23,3374,Belagavi,B0017,C0889,belagavi,belgaum rural,kangrali kh,kangrali k.h.,belgaum rural,Belagavi,kangrali kh,kangrali k.h.
2022-23,1302,Belagavi,B0078,C0237,belagavi,khanapur,bhuranki,bhuranki,khanapur,Belagavi,bhuranki,bhuranki
2022-23,3150,Belagavi,B0078,C0664,belagavi,khanapur,hiremunolli,kadachwad,khanapur,Belagavi,hiremunolli,kadachwad
2022-23,2976,Belagavi,B0078,C0756,belagavi,khanapur,itagi,itagi,khanapur,Belagavi,itagi,itagi
2022-23,2637,Belagavi,B0078,C1351,belagavi,khanapur,parishwad,hirehattiholi,khanapur,Belagavi,parishwad,hirehattiholi
2022-23,3115,Belagavi,B0078,C1619,belagavi,khanapur,tolagi,k.bagewadi,khanapur,Belagavi,tolagi,k.bagewadi
2022-23,3632,Belagavi,B0113,C1129,belagavi,ramdurg,manihal,kittur,ramdurg,Belagavi,manihal,kittur
2022-23,4256,Belagavi,B0113,C1129,belagavi,ramdurg,manihal,manihal,ramdurg,Belagavi,manihal,manihal
2022-23,2319,Belagavi,B0113,C1208,belagavi,ramdurg,mudenur,halagatti,ramdurg,Belagavi,mudenur,halagatti
2022-23,2089,Belagavi,B0113,C1625,belagavi,ramdurg,turanur,ghatakanur,ramdurg,Belagavi,turanur,ghatakanur
2022-23,5836,Belagavi,B0113,C1625,belagavi,ramdurg,turanur,turanur,ramdurg,Belagavi,turanur,turanur
2022-23,2766,Belagavi,B0130,C0697,belagavi,soundatti,hoolikatti,hooli katti,soundatti,Belagavi,hoolikatti,hooli katti
2022-23,5132,Belagavi,B0130,C0707,belagavi,soundatti,hosur,rudrapur,soundatti,Belagavi,hosur,rudrapur
2022-23,2939,Belagavi,B0130,C0745,belagavi,soundatti,inamhongal,inam hongal,soundatti,Belagavi,inamhongal,inam hongal
2022-23,4572,Belagavi,B0130,C1231,belagavi,soundatti,murgod,murgod,soundatti,Belagavi,murgod,murgod
2022-23,1239,Belagavi,B0130,C1636,belagavi,soundatti,ugargol,betsur,soundatti,Belagavi,ugargol,betsur
2022-23,1201,Bagalkote,B0008,C0204,bagalkot,badami,beluru,belur,badami,Bagalkote,beluru,belur
2022-23,510,Bagalkote,B0008,C0568,bagalkot,badami,halakurki,adagal,badami,Bagalkote,halakurki,adagal
2022-23,213009165,Bagalkote,B0008,C0578,bagalkot,badami,haligeri,haligeri,badami,Bagalkote,haligeri,haligeri
2022-23,2427,Bagalkote,B0008,C0600,bagalkot,badami,hansanur,hansnoor,badami,Bagalkote,hansanur,hansnoor
2022-23,3025,Bagalkote,B0008,C0708,bagalkot,badami,housur,jalihal,badami,Bagalkote,housur,jalihal
2022-23,3479,Bagalkote,B0008,C0911,bagalkot,badami,katageri,katageri,badami,Bagalkote,katageri,katageri
2022-23,1254,Bagalkote,B0009,C0215,bagalkot,bagalkot,bevoor,bevoor,bagalkot,Bagalkote,bevoor,bevoor
2022-23,1216,Bagalkote,B0009,C0217,bagalkot,bagalkot,bhagavati,benakatti,bagalkot,Bagalkote,bhagavati,benakatti
2022-23,1216,Bagalkote,B0009,C1219,bagalkot,bagalkot,mugalolli,benakatti,bagalkot,Bagalkote,mugalolli,benakatti
2022-23,5085,Bagalkote,B0009,C1516,bagalkot,bagalkot,sitimani r s,rampur,bagalkot,Bagalkote,sitimani r s,rampur
