District,Block,Cluster,GP,GP_ID
belagavi,bailhongal,anigol,amatur,646
belagavi,bailhongal,anigol,anigal,716
belagavi,bailhongal,anigol,bailwad,941
belagavi,bailhongal,anigol,chivat gundi,1669
belagavi,bailhongal,anigol,devalapur,1773
belagavi,bailhongal,anigol,vakkund,5954
belagavi,bailhongal,bailhongal,bailwad,941
belagavi,bailhongal,belavadi,belwadi,1206
belagavi,bailhongal,belavadi,holinagalapur,2723
belagavi,bailhongal,belavadi,kalabhavi,3229
belagavi,bailhongal,belavadi,kenganur,3547
belagavi,bailhongal,belavadi,khodanpur,3601
belagavi,bailhongal,belavadi,pattihal k.b.,4982
belagavi,bailhongal,belavadi,sangoli,5206
belagavi,bailhongal,belavadi,udakeri,5854
belagavi,bailhongal,budarkatti,belwadi,1206
belagavi,bailhongal,budarkatti,budarkatti,1407
belagavi,bailhongal,budarkatti,dodawad,1857
belagavi,bailhongal,budarkatti,govankoppa,2169
belagavi,bailhongal,chikkabagewadi,chikka bagewadi,1560
belagavi,bailhongal,chikkabagewadi,marikatti,4316
belagavi,bailhongal,chikkabagewadi,tigadi,5771
belagavi,bailhongal,deshnur,deshnur,1764
belagavi,bailhongal,deshnur,sutagatti,5564
belagavi,bailhongal,hanabarhatti,hanabaratti,2380
belagavi,bailhongal,hanabarhatti,myakalmardi,4606
belagavi,bailhongal,hanabarhatti,vannur,5970
belagavi,bailhongal,hannikeri,bhavihal,1279
belagavi,bailhongal,hannikeri,hannikeri,2426
belagavi,bailhongal,nagnoor,naganur,4645
belagavi,bailhongal,neginhal,holihosur,2722
belagavi,bailhongal,neginhal,neginal,4789
belagavi,bailhongal,nesargi,mallapur,213009365
belagavi,bailhongal,nesargi,murkibhavi,4575
belagavi,bailhongal,nesargi,myakalmardi,4606
belagavi,bailhongal,nesargi,nesargi,4827
belagavi,bailhongal,nesargi,sutagatti,5564
belagavi,bailhongal,sampagaon,mardi nagalapur,4308
belagavi,bailhongal,sampagaon,sampgaon,5188
belagavi,bailhongal,sampagaon,tigadi,5771
belagavi,belgaum rural,aralikatti,aralikatti,769
belagavi,belgaum rural,aralikatti,hirebagewadi,2620
belagavi,belgaum rural,balekundri kh,balekundri b.k.,964
belagavi,belgaum rural,balekundri kh,balekundri k.h.,965
belagavi,belgaum rural,balekundri kh,modaga,4456
belagavi,belgaum rural,balekundri kh,sambra,5183
belagavi,belgaum rural,bhendigeri,badas k.h.,911
belagavi,belgaum rural,bhendigeri,bhendigeri,1286
belagavi,belgaum rural,bhendigeri,k.k.koppa,3123
belagavi,belgaum rural,bhendigeri,kukadoli,3849
belagavi,belgaum rural,bhendigeri,mutnal,4594
belagavi,belgaum rural,bhutaramatti,bambarga,1000
belagavi,belgaum rural,bhutaramatti,hosa vantmuri,2777
belagavi,belgaum rural,desur,desur,1765
belagavi,belgaum rural,desur,markandeynagar,4321
belagavi,belgaum rural,desur,nandihalli,4719
belagavi,belgaum rural,dhamne s,dhamane s.bgm,1819
belagavi,belgaum rural,dharanatti,dharanatti,213009347
belagavi,belgaum rural,halga,bastwad,1097
belagavi,belgaum rural,halga,halga,2345
belagavi,belgaum rural,halga,mastamardi,4351
belagavi,belgaum rural,halga,tarihal,5639
belagavi,belgaum rural,handignur,bambarga,1000
belagavi,belgaum rural,hindalga,benakanahalli,1212
belagavi,belgaum rural,hindalga,hindalga,2605
belagavi,belgaum rural,hudli,hudli,2819
belagavi,belgaum rural,hudli,tummar guddi,5830
belagavi,belgaum rural,kadoli,bambarga,1000
belagavi,belgaum rural,kadoli,kadoli,3189
belagavi,belgaum rural,kakti,honga,2738
belagavi,belgaum rural,kakti,kakati,3222
belagavi,belgaum rural,kakti,rangadolli,5092
belagavi,belgaum rural,kangrali bk,honga,2738
belagavi,belgaum rural,kangrali bk,kangrali b.k.,3373
belagavi,belgaum rural,kangrali kh,agasage,542
belagavi,belgaum rural,kangrali kh,kangrali k.h.,3374
belagavi,belgaum rural,kangrali kh,kednur,3522
belagavi,belgaum rural,kk koppa,ankalgi,722
belagavi,belgaum rural,kk koppa,k.k.koppa,3123
belagavi,belgaum rural,mannur,ambewadi,654
belagavi,belgaum rural,mannur,sulga u,5529
belagavi,belgaum rural,marihal,kardiguddi,3442
belagavi,belgaum rural,marihal,marihal,4315
belagavi,belgaum rural,marihal,modaga,4456
belagavi,belgaum rural,marihal,sulebhavi,5525
