event,when,academic_years_hit,geography_level,geography,direction_gr46_math,mechanism,status,source
Egg/banana MDM pilot,Dec 2021-Mar 2022,2021-22|2022-23 baseline,district,BIDAR|RAICHUR|KALBURGI|YADAGIRI|KOPPAL|BALLARI|VIJAYAPURA,positive,nutrition to attendance and cognition in pilot districts,VERIFIED,https://theprint.in/india/karnataka-adds-eggs-to-midday-meal-scheme-in-7-districts-even-as-lingayat-seers-oppose-it/775581/
Omicron closure and reopening,Jan-Feb 2022,2022-23 baseline,district,BENGALURU U NORTH|BENGALURU U SOUTH,negative,3-4 lost weeks on top of 2020-21 losses,VERIFIED,https://www.thedailyjagran.com/education/bengaluru-schools-to-reopen-for-class-1-to-9-from-january-31-details-here-10038622
Hijab row,Jan-Mar 2022,2022-23 baseline,district,UDUPI|DAKSHINA KANNADA,near-zero,high-school-only closures; community tension in coastal belt,VERIFIED,https://en.wikipedia.org/wiki/2022_Karnataka_hijab_row
GPSTR teacher recruitment 11494 join,AY 2023-24,2023-24|2024-25,statewide,ALL,positive,more grade 6-8 subject teachers from 2023-24,VERIFIED,https://www.deccanherald.com/amp/story/india%2Fkarnataka%2Fsupreme-court-modifies-stay-order-allows-karnataka-govt-to-appoint-11494-graduate-primary-teachers-2875928
Textbook revision row and re-revision,Mar 2022-Aug 2023,2022-23|2023-24,statewide,ALL,near-zero,maths content untouched in both rounds,VERIFIED,https://www.thenewsminute.com/karnataka/karnataka-revises-school-textbooks-reintroduces-chapters-by-progressive-writers
Kalika Chetarike learning recovery year,AY 2022-23,2022-23,statewide,ALL,positive,whole year re-anchored to prior-grade competencies incl numeracy,VERIFIED,https://dsert.karnataka.gov.in/info-1/teachers+education+section/kalika+chetharike+2022-2023/en
Viveka classrooms ~8100,2022-23,2022-23|2023-24,statewide-KK-skewed,ALL (KKRDB-funded share in Kalyana Karnataka),positive-mild,classroom stock,VERIFIED,https://www.thenewsminute.com/article/karnataka-government-paint-viveka-scheme-school-classrooms-saffron-colour-169924
Eggs statewide 2 days/week,Jul 2022,2022-23|2023-24|2024-25,statewide,ALL,positive,pilot districts lose their treatment edge from 2022-23,VERIFIED,https://www.logicallyfacts.com/en/fact-check/misleading-no-new-congress-government-in-karnataka-didn-t-just-add-eggs-to-midday-meals
Monsoon floods 2022 and Bengaluru cloudburst,Jul-Sep 2022,2022-23,taluk,BELAGAVI(Khanapur|Savadatti|Ramdurg)|UTTARA KANNADA|DHARWAD|HAVERI|GADAG|KOPPAL|BENGALURU EAST,negative,lost days and damaged classrooms taluk-sharp,VERIFIED-closures PLAUSIBLE-damagecounts,https://www.deccanherald.com/amp/story/india%2Fkarnataka%2Fkarnataka-2-day-holiday-for-schools-in-belagavi-khanapur-1126925
KSEAB class 5/8 exams round 1,Dec 2022-Mar 2023,2022-23,statewide,ALL,ambiguous,test-prep up and end-year uncertainty up for grade 5,VERIFIED,https://zeenews.india.com/india/karnataka-board-class-5th-8th-exam-2023-supreme-court-refuses-to-stay-hc-orders-2586018.html
