nfhs5_name,hh_electricity_pct,hh_improved_sanitation_pct,age5_preprimary_attend_pct,women_literate_pct,women_10plus_schooling_pct,women_married_before18_pct,u5_stunted_pct,u5_wasted_pct,u5_underweight_pct,children_anaemic_pct,women_anaemic_pct
Bagalkot,98.9,51.3,7.1,69.7,37.7,38.7,48.3,16.9,42.3,63.8,48.0
Bangalore (Urban),98.8,90.4,23.4,87.3,70.1,14.5,31.3,19.2,28.1,58.9,35.5
Bangalore Rural,99.2,88.8,16.4,83.8,56.3,14.1,36.6,16.2,23.8,60.8,44.2
Belgaum,99.1,67.7,21.6,74.0,47.8,32.8,32.8,23.6,36.9,72.7,52.9
Bellary,98.9,64.1,28.0,64.4,39.9,22.2,36.1,22.9,36.5,67.5,58.1
Bidar,98.8,56.5,7.1,73.8,45.0,19.2,36.8,22.1,36.1,69.3,55.9
Bijapur,97.6,44.8,24.9,66.6,37.1,39.2,45.9,15.0,39.0,65.2,52.9
Chamarajanagar,98.7,75.2,21.8,72.4,41.7,19.3,32.2,18.0,28.7,68.7,46.3
Chikkaballapura,99.9,84.9,14.6,76.3,48.0,27.1,31.3,16.1,25.2,59.0,45.5
Chikmagalur,99.3,92.3,10.4,82.9,48.3,19.5,27.3,24.9,25.4,53.2,40.8
Chitradurga,99.8,63.1,27.2,75.6,48.3,20.7,36.0,17.9,32.4,61.1,44.6
Dakshina Kannada,99.8,97.1,11.0,92.7,62.8,4.9,25.1,30.5,26.4,51.1,38.8
Davanagere,98.8,83.3,18.1,76.0,47.1,19.1,38.4,18.8,32.8,70.2,51.7
Dharwad,99.4,79.3,7.7,81.8,51.4,17.8,45.2,16.5,40.4,67.2,52.1
Gadag,98.6,55.2,16.3,70.7,45.1,27.7,45.2,18.2,39.8,70.3,50.5
Gulbarga,99.4,36.5,19.5,68.2,42.0,29.8,34.5,25.0,36.2,75.1,56.0
Hassan,99.3,87.9,8.9,82.0,51.3,16.2,27.1,15.2,23.8,63.6,42.2
Haveri,99.1,68.9,13.8,71.5,40.0,16.5,29.9,17.7,35.0,66.9,50.8
Kodagu,98.7,93.9,13.0,88.5,58.9,12.8,30.4,21.7,22.6,54.4,39.9
Kolar,99.5,89.2,17.0,78.3,55.0,26.7,31.1,15.5,15.7,57.9,43.6
Koppal,99.2,58.8,29.6,59.8,34.4,27.1,49.1,23.1,45.8,70.7,54.8
Mandya,98.4,86.7,15.5,78.3,52.5,13.1,24.3,11.8,16.7,58.2,47.0
Mysore,99.5,86.4,14.1,78.9,49.6,17.5,27.5,15.6,28.2,57.2,48.0
Raichur,99.7,53.0,15.5,54.3,31.7,21.9,39.8,23.2,40.7,73.6,60.4
Ramanagara,99.6,89.6,41.1,82.7,54.5,11.8,15.6,20.0,19.8,60.2,45.5
Shimoga,99.5,85.4,22.9,79.8,49.1,11.1,29.0,23.2,34.4,68.9,41.9
Tumkur,99.6,86.1,2.0,81.9,58.9,24.8,40.3,10.9,26.7,67.6,49.3
Udupi,99.6,94.5,3.2,90.3,55.4,4.4,23.1,17.6,21.0,58.3,47.3
Uttara Kannada,99.1,89.6,8.1,84.3,49.2,11.6,29.6,21.9,33.3,69.0,44.6
Yadgir,99.0,37.4,6.2,48.1,26.4,33.2,57.6,17.7,45.2,76.0,57.3
