idx,section,indicator,nfhs6_urban,nfhs6_rural,nfhs6_total,nfhs5_total
1,Population and Household Profile Urban Rural Total Total,Population below age 5 years (%),6.8,6.3,6.5,7.0
2,Population and Household Profile Urban Rural Total Total,Population below age 15 years (%),21.9,22.0,22.0,22.9
3,Population and Household Profile Urban Rural Total Total,Population age 60 years and above (%),13.1,15.8,14.6,13.3
4,Population and Household Profile Urban Rural Total Total,Population living in households with electricity (%),99.8,99.6,99.7,99.1
5,Population and Household Profile Urban Rural Total Total,Population living in households with an improved drinking-water source1 (%),98.9,96.2,97.3,95.3
6,Population and Household Profile Urban Rural Total Total,Households using iodized salt (%),98.3,94.7,96.3,92.8
7,Population and Household Profile Urban Rural Total Total,Households with any usual member covered under a health insurance/financing scheme (%),57.1,68.1,63.3,31.8
8,Population and Household Profile Urban Rural Total Total,Households with any usual member having a bank account/post office account (%),98.0,99.1,98.6,94.5
9,Population and Household Profile Urban Rural Total Total,Female population age 6 years and above who ever attended school (%),86.4,71.5,77.8,73.0
10,Population and Household Profile Urban Rural Total Total,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),20.2,36.9,29.5,16.2
11,Population and Household Profile Urban Rural Total Total,Children age 2-4 years who attended pre-school (%) Characteristics of Adults (age 15-49 years),51.7,50.0,50.7,44.5
12,Population and Household Profile Urban Rural Total Total,Women with 10 or more years of schooling (%),69.4,48.3,57.6,50.2
13,Population and Household Profile Urban Rural Total Total,Men with 10 or more years of schooling (%),69.8,57.3,63.0,56.5
14,Population and Household Profile Urban Rural Total Total,Women who have ever used the internet (%),74.1,45.1,57.9,35.0
15,Population and Household Profile Urban Rural Total Total,Men who have ever used the internet (%) Marriage and Fertility,90.2,79.4,84.3,56.3
16,Population and Household Profile Urban Rural Total Total,Women age 20-24 years married before age 18 years (%),10.0,19.1,15.3,21.3
17,Population and Household Profile Urban Rural Total Total,Men age 25-29 years married before age 21 years (%),4.2,4.6,4.4,6.1
18,Population and Household Profile Urban Rural Total Total,Total fertility rate (children per woman),1.7,1.8,1.8,1.7
19,Population and Household Profile Urban Rural Total Total,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%) Current Use of Family Planning Methods (currently married women age 15–49 years),2.2,6.8,4.9,5.4
20,Population and Household Profile Urban Rural Total Total,Any method2 (%),60.3,68.2,64.8,68.7
21,Population and Household Profile Urban Rural Total Total,Any modern method2 (%),57.6,67.4,63.2,68.2
22,Population and Household Profile Urban Rural Total Total,Any traditional method (%),2.7,0.8,1.6,0.5
23,Population and Household Profile Urban Rural Total Total,Female sterilization (%),49.1,62.8,56.9,57.4
24,Population and Household Profile Urban Rural Total Total,Male sterilization (%) Unmet Need for Family Planning (currently married women age 15–49 years),0.0,0.1,0.0,0.0
25,Population and Household Profile Urban Rural Total Total,Total unmet need3 (%),10.6,7.4,8.8,6.4
26,Population and Household Profile Urban Rural Total Total,Unmet need for spacing3 (%),5.8,4.9,5.3,3.7
27,Population and Household Profile Urban Rural Total Total,Unmet need for limiting3 (%) Maternal and Child Health Antenatal Care (for last birth in the 5 years before the survey),4.8,2.5,3.5,2.7
