pgid_educational_district,maps_to_district,overall_600,outcomes_290,classroom_transactions_90,infra_entitlements_51,safety_child_protection_35,digital_learning_50,governance_84
Dakshina Kannada,Dakshina Kannada,347,148,64,33,21,27,54
Mysuru,Mysuru,336,146,63,30,24,24,49
Udupi,Udupi,333,151,63,30,21,24,44
Hassan,Hassan,331,162,58,28,20,13,50
Uttara Kannada,Uttara Kannada,330,168,54,30,16,14,48
Bengaluru U South,Bengaluru Urban,327,148,54,28,18,29,50
Bengaluru U North,Bengaluru Urban,326,145,58,28,20,29,46
Kodagu,Kodagu,323,144,60,30,20,20,49
Tumakuru Madhugiri,Tumakuru,322,144,57,31,19,15,56
Uttara Kannada Sirsi,Uttara Kannada,322,167,54,29,16,12,44
Belagavi Chikkodi,Belagavi,321,149,59,28,19,21,45
Bengaluru Rural,Bengaluru Rural,313,139,56,33,18,19,48
Chikkamangaluru,Chikkamagaluru,308,147,57,25,18,17,44
Mandya,Mandya,307,129,61,31,22,17,47
Bagalkot,Bagalkote,306,150,54,25,15,18,44
Belagavi,Belagavi,305,150,53,27,16,15,44
Chikkaballapura,Chikkaballapura,304,137,54,30,21,14,48
Tumakuru,Tumakuru,304,144,52,29,18,14,47
Shivamogga,Shivamogga,302,134,56,29,19,17,47
Gadag,Gadag,301,137,57,26,17,21,43
Davanagere,Davanagere,301,139,57,26,17,16,46
Chitradurga,Chitradurga,300,140,54,30,15,16,45
Ramanagara,Ramanagara,293,122,55,31,20,17,48
Dharwad,Dharwad,292,134,54,26,16,18,44
Haveri,Haveri,291,132,55,26,18,16,44
Chamarajanagara,Chamarajanagara,290,127,54,30,17,16,46
Kolar,Kolar,288,132,52,26,16,14,48
Vijayanagara,Vijayanagara,287,146,49,21,13,15,43
Ballari,Ballari,279,124,52,24,17,19,43
Vijayapura,Vijayapura,274,127,50,22,16,15,44
Koppal,Koppal,273,129,52,21,14,16,41
Kalburgi,Kalaburagi,261,128,45,19,12,13,44
Yadagiri,Yadgir,258,124,47,19,12,13,43
Raichur,Raichur,257,126,51,16,13,14,37
Bidar,Bidar,250,115,44,19,11,11,50
