grade,competency_code,desc_fragment,karnataka_pct,national_pct,gap
3,C-8.1,Sorts objects into groups and sub-groups based on more than one property,65,68,-3
3,C-8.2,"Identifies and extends simple patterns in their surroundings, shapes, and number",68,69,-1
3,C-8.4,Arranges numbers up to 99 in ascending and descending order,52,55,-3
3,C-8.5,,59,61,-2
3,C-8.6,,55,58,-3
3,C-8.7,Recognises multiplication as repeated addition and division as equal sharing,50,54,-4
3,C-8.8,,51,50,1
3,C-8.9,,58,62,-4
3,C-8.10,"Performs simple measurements of time in minutes, hours, day, weeks, and months",58,61,-3
3,C-8.11,Performs simple transactions using money up to INR 100,47,50,-3
3,C-8.12,,53,55,-2
3,C-8.13,,52,55,-3
6,C-1.1,,54,54,0
6,C-1.2,,26,29,-3
6,C-1.3,multiplication tables at least up to 10×10 (Pahade) and applies the four basic o,51,53,-2
6,C-1.4,,49,49,0
6,C-2.2,,40,41,-1
6,C-2.4,"Discovers, recognises, describes, and extends patterns in 2D and 3D shapes",51,48,3
6,C-3.3,"Carries out simple unit conversions, such as from centimetres to metres, within ",35,38,-3
6,C-3.5,,38,42,-4
6,C-4.1,,36,38,-2
6,C-4.3,,49,49,0
9,C-1.2,,35,39,-4
9,C-1.4,,29,31,-2
9,C-1.5,Explores the idea of percentage and applies it to solve problems,25,28,-3
9,C-1.6,Explores and applies fractions (both as ratios and in decimal form) in daily-lif,27,31,-4
9,C-2.2,Extends the representation of a number in the form of a variable or an algebraic,41,44,-3
9,C-2.3,,34,38,-4
9,C-2.5,Develops own methods to solve puzzles and problems using algebraic thinking,33,37,-4
9,C-3.2,,32,37,-5
9,C-3.5,,37,40,-3
9,C-4.1,,35,39,-4
9,C-5.1,,38,41,-3
9,C-6.1,convincing arguments or proofs to turn these definitions and conjectures into th,25,29,-4
