prs_district,prs24_avg_pct_g3,prs24_avg_pct_g6,prs24_avg_pct_g9,prs24_gender_gap_girls_minus_boys_g3,prs24_gender_gap_girls_minus_boys_g6,prs24_gender_gap_girls_minus_boys_g9,prs24_rank_in_state_g3,prs24_rank_in_state_g6,prs24_rank_in_state_g9,prs24_rural_g3,prs24_rural_g6,prs24_rural_g9,prs24_sc_g3,prs24_sc_g6,prs24_sc_g9,prs24_st_g3,prs24_st_g6,prs24_st_g9,prs24_state_govt_g3,prs24_state_govt_g6,prs24_state_govt_g9,prs24_urban_g3,prs24_urban_g6,prs24_urban_g9
Bagalkote,65,51,34,3,1,-3,4.0,2.0,6.0,66,53,34,67,45,32,75,46,32,71,49,30,64,49,35
Ballari,56,34,30,4,1,1,19.0,31.0,24.0,58,30,29,61,32,28,56,34,29,64,26,28,55,39,31
Belagavi,60,51,34,3,3,2,13.0,2.0,6.0,66,54,32,60,46,32,51,46,29,62,49,33,53,47,36
Bengaluru Rural,57,43,32,0,2,0,17.0,17.0,12.0,59,43,33,54,39,28,61,44,28,57,43,27,54,43,31
Bengaluru Urban,52,47,37,1,-4,-1,27.0,7.0,1.0,44,45,50,46,37,31,48,42,33,48,34,25,53,47,36
Bidar,56,35,29,1,-2,0,19.0,30.0,29.0,58,36,29,58,31,26,60,32,28,54,29,28,54,34,28
Chamarajanagara,63,39,31,6,4,1,5.0,27.0,20.0,65,42,31,66,41,31,60,36,28,64,37,29,59,36,30
Chikkaballapura,60,41,30,2,-2,-1,13.0,25.0,24.0,64,43,30,64,40,29,63,37,27,68,37,28,53,38,31
Chikkamagaluru,61,43,33,2,1,2,9.0,17.0,8.0,64,45,33,66,39,30,68,48,29,61,41,27,57,39,30
Chitradurga,61,38,33,6,1,0,9.0,28.0,8.0,62,39,33,63,35,29,63,37,33,75,36,29,60,37,33
Dakshina Kannada,59,48,35,4,3,2,15.0,5.0,4.0,58,48,33,57,41,31,63,41,30,60,45,31,60,48,37
Davangere,63,47,32,3,-1,0,5.0,7.0,12.0,69,50,34,68,43,32,69,44,30,67,49,31,53,41,30
Dharwad,50,41,32,6,10,-1,30.0,25.0,12.0,47,38,30,54,39,32,48,35,30,46,37,28,51,42,33
Gadag,58,46,31,3,0,3,16.0,11.0,20.0,60,44,31,58,47,29,63,43,29,61,42,31,56,48,32
Hassan,73,51,36,2,2,2,2.0,2.0,2.0,77,53,36,76,43,32,83,45,35,79,50,38,67,49,37
Haveri,56,43,32,3,2,4,19.0,17.0,12.0,62,48,32,57,37,30,55,41,30,64,37,31,49,40,31
Kalaburagi,61,42,30,2,2,0,9.0,22.0,24.0,61,39,30,61,40,31,63,39,29,65,34,25,61,45,30
Kodagu,57,45,31,6,1,-1,17.0,12.0,20.0,59,47,32,57,39,30,57,39,30,65,38,28,51,41,29
Kolar,55,42,28,3,5,3,24.0,22.0,31.0,55,44,29,55,42,27,54,39,27,60,48,27,55,39,28
Koppal,51,44,32,5,3,1,29.0,14.0,12.0,53,43,32,44,36,27,55,42,28,50,38,27,48,46,31
Mandya,52,43,31,2,4,-1,27.0,17.0,20.0,54,45,34,53,44,32,47,33,31,53,39,31,44,37,27
Mysuru,56,44,32,2,4,1,19.0,14.0,12.0,57,43,34,56,43,30,53,37,30,59,36,27,54,44,30
Raichur,54,45,30,4,4,-1,26.0,12.0,24.0,53,45,32,54,47,29,56,40,28,53,45,29,55,45,29
Ramanagara,55,37,29,0,0,1,24.0,29.0,29.0,54,39,31,48,38,30,60,37,26,55,37,29,56,36,27
Shivamogga,56,43,32,5,3,2,19.0,17.0,12.0,59,50,32,56,39,29,58,38,27,59,40,28,54,38,32
Tumakuru,62,42,32,1,4,-1,7.0,22.0,12.0,64,44,31,67,39,28,64,37,28,63,42,27,59,37,34
Udupi,61,48,35,3,2,1,9.0,5.0,4.0,63,47,36,53,45,33,58,43,32,66,41,30,58,50,34
Uttara Kannada,74,52,36,0,1,1,1.0,1.0,2.0,73,54,38,74,53,35,67,47,30,83,52,37,74,50,34
Vijayanagar,62,47,33,0,3,3,7.0,7.0,8.0,68,49,35,69,51,31,61,41,33,67,40,30,59,46,29
Vijayapura,47,47,33,1,0,0,31.0,7.0,8.0,43,49,32,46,45,30,42,56,29,39,46,30,53,45,35
Yadgir,66,44,30,0,7,0,3.0,14.0,24.0,63,38,30,63,42,29,70,35,30,65,41,27,69,49,30
