state,division,revenue_district,district,block,academic_year,n_schools_4_6,n_schools_govt,pct_govt_schools,pct_private_schools,pct_rural_schools,enrolment_all,enrolment_govt,teachers_govt,ptr_govt,pct_female_teachers_govt,pct_teachers_graduate_plus_govt,pct_sch_electricity_govt,pct_sch_library_govt,pct_sch_playground_govt,pct_sch_tapwater_functional_govt,pct_sch_internet_govt,pct_sch_computer_lab_govt,pct_sch_ramps_govt,pct_sch_reading_corner_govt,pct_sch_handwash_meal_govt,pct_sch_kannada_medium_govt,pct_sch_preprimary_govt,girls_func_toilets_per_school_govt,good_classrooms_per_school_govt,acad_inspections_per_school_govt,crc_coordinators_per_school_govt,smc_meetings_per_school_govt,mean_instruction_days_govt,avg_govt_school_size
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,2022-23,320,267,83.44,16.56,72.81,50401.0,42997.0,1278.0,33.64,44.37,57.51,98.88,95.88,63.67,98.13,39.7,0.0,92.88,88.76,75.66,89.14,4.65,1.25,5.14,1.25,8.39,6.5,228.16,161.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BAGALKOT,2022-23,269,210,78.07,21.93,69.89,50006.0,32041.0,1082.0,29.61,52.68,57.67,98.57,98.1,80.0,96.19,23.81,0.0,97.14,93.33,84.29,83.33,3.55,1.64,5.41,1.23,8.97,6.75,232.85,152.6
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BILAGI,2022-23,188,143,76.06,23.94,88.3,28212.0,19913.0,647.0,30.78,35.24,66.92,98.6,98.6,72.03,95.8,19.58,0.0,93.71,95.1,86.01,88.11,2.94,1.24,4.78,0.71,6.82,6.76,224.57,139.3
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,HUNAGUND,2022-23,341,261,76.54,23.46,69.21,47494.0,34734.0,1120.0,31.01,41.52,57.59,99.23,99.62,65.13,98.08,15.71,0.0,99.23,90.8,73.95,88.51,3.57,1.29,5.07,0.8,6.35,5.31,231.5,133.1
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,JAMAKHANDI,2022-23,477,319,66.88,33.12,64.36,87880.0,57305.0,1652.0,34.69,40.01,60.77,99.06,95.3,69.59,82.45,42.01,0.0,94.04,90.6,84.01,86.52,9.51,1.51,5.49,1.5,7.53,5.95,229.47,179.6
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,MUDHOL,2022-23,347,263,75.79,24.21,71.18,64310.0,40069.0,1151.0,34.81,41.62,66.03,97.34,97.72,73.76,84.41,36.12,0.0,100.0,91.63,90.87,87.45,7.57,1.51,4.92,0.92,8.64,7.33,230.51,152.4
KARNATAKA,Kalaburagi,Ballari,BALLARI,BELLARY EAST,2022-23,300,171,57.0,43.0,53.0,69629.0,35482.0,908.0,39.08,59.03,67.29,95.91,99.42,46.2,88.3,7.6,0.0,81.29,88.89,77.78,77.19,4.27,1.69,5.57,3.27,7.3,5.42,222.09,207.5
KARNATAKA,Kalaburagi,Ballari,BALLARI,BELLARY WEST,2022-23,365,199,54.52,45.48,42.19,89884.0,40311.0,1010.0,39.91,54.95,69.21,96.48,100.0,43.22,92.96,8.04,0.0,74.37,80.9,80.9,83.42,3.16,1.73,6.01,1.74,10.06,6.82,225.74,202.6
KARNATAKA,Kalaburagi,Ballari,BALLARI,SANDUR,2022-23,221,169,76.47,23.53,83.26,50941.0,30317.0,713.0,42.52,41.51,74.89,94.67,96.45,41.42,91.12,34.91,0.0,91.72,85.21,87.57,86.98,5.0,1.77,5.89,1.57,7.87,5.28,232.29,179.4
KARNATAKA,Kalaburagi,Ballari,BALLARI,SIRUGUPPA,2022-23,254,186,73.23,26.77,76.77,49038.0,32612.0,613.0,53.2,38.34,68.84,100.0,91.4,54.3,93.01,31.72,0.0,95.16,80.65,71.51,87.63,7.87,1.61,4.28,2.5,12.71,6.55,227.76,175.3
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BAILHONGAL,2022-23,204,160,78.43,21.57,82.84,36791.0,26244.0,830.0,31.62,48.19,51.45,99.38,96.88,56.25,86.88,8.75,0.0,96.88,91.25,71.25,82.5,1.31,1.52,5.66,1.42,6.04,6.12,221.79,164.0
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM CITY,2022-23,284,178,62.68,37.32,0.35,85869.0,32781.0,1059.0,30.95,63.93,59.77,100.0,100.0,46.63,89.89,22.47,0.0,78.65,94.94,73.03,47.75,7.5,2.52,6.6,2.01,6.44,5.26,217.74,184.2
KARNATAKA,Belagavi,Belagavi,BELAGAVI,BELGAUM RURAL.,2022-23,360,300,83.33,16.67,89.72,60314.0,44002.0,1412.0,31.16,62.46,46.32,99.33,100.0,81.67,86.0,35.33,0.0,94.0,93.67,76.0,54.33,4.75,1.68,5.34,1.15,11.54,7.85,224.57,146.7
KARNATAKA,Belagavi,Belagavi,BELAGAVI,KHANAPUR,2022-23,357,330,92.44,7.56,95.52,33732.0,26013.0,1086.0,23.95,41.8,47.42,99.39,100.0,44.55,88.18,8.79,0.0,77.88,98.79,84.85,28.79,1.86,1.21,3.13,0.92,7.48,8.51,226.64,78.8
KARNATAKA,Belagavi,Belagavi,BELAGAVI,KITTUR,2022-23,109,83,76.15,23.85,90.83,17429.0,13323.0,424.0,31.42,42.92,50.71,98.8,100.0,72.29,97.59,10.84,0.0,85.54,81.93,65.06,83.13,2.5,1.35,5.67,1.23,10.53,7.7,237.01,160.5
KARNATAKA,Belagavi,Belagavi,BELAGAVI,RAMDURG,2022-23,273,211,77.29,22.71,86.45,41229.0,31593.0,855.0,36.95,38.25,57.08,100.0,100.0,51.18,93.84,28.44,0.0,87.68,82.94,73.46,89.1,7.92,1.47,5.21,1.14,6.64,5.7,223.18,149.7
