state,division,revenue_district,district,academic_year,n_schools_4_6,n_schools_govt,pct_govt_schools,pct_private_schools,pct_rural_schools,enrolment_all,enrolment_govt,teachers_govt,ptr_govt,pct_female_teachers_govt,pct_teachers_graduate_plus_govt,pct_sch_electricity_govt,pct_sch_library_govt,pct_sch_playground_govt,pct_sch_tapwater_functional_govt,pct_sch_internet_govt,pct_sch_computer_lab_govt,pct_sch_ramps_govt,pct_sch_reading_corner_govt,pct_sch_handwash_meal_govt,pct_sch_kannada_medium_govt,pct_sch_preprimary_govt,girls_func_toilets_per_school_govt,good_classrooms_per_school_govt,acad_inspections_per_school_govt,crc_coordinators_per_school_govt,smc_meetings_per_school_govt,mean_instruction_days_govt,avg_govt_school_size
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,2022-23,1942,1463,75.33,24.67,70.91,328303.0,227059.0,6930.0,32.76,42.86,60.62,98.63,97.33,70.2,91.73,31.03,0.0,96.24,91.32,82.16,87.22,5.72,1.41,5.17,1.11,7.81,6.38,229.78,155.2
KARNATAKA,Kalaburagi,Ballari,BALLARI,2022-23,1140,725,63.6,36.4,60.7,259492.0,138722.0,3244.0,42.76,50.0,69.85,96.83,96.83,46.34,91.45,20.28,0.0,85.38,83.72,79.31,83.86,5.06,1.7,5.44,2.26,9.58,6.06,226.87,191.3
KARNATAKA,Belagavi,Belagavi,BELAGAVI,2022-23,1888,1500,79.45,20.55,75.85,327386.0,217001.0,6798.0,31.92,50.46,52.6,99.53,99.67,58.73,90.07,18.6,0.0,87.0,92.07,76.93,63.2,4.5,1.58,4.97,1.23,8.27,7.06,224.81,144.7
KARNATAKA,Belagavi,Belagavi,BELAGAVI CHIKKODI,2022-23,2548,1999,78.45,21.55,76.1,423332.0,290776.0,8252.0,35.24,42.9,60.2,98.0,99.85,91.65,78.99,40.57,0.0,97.4,87.24,88.49,78.94,6.46,1.57,4.79,1.42,7.71,6.91,227.05,145.5
KARNATAKA,Bengaluru,Bengaluru Rural,BENGALURU RURAL,2022-23,1358,1096,80.71,19.29,83.87,149021.0,55638.0,2773.0,20.06,55.93,49.04,100.0,97.26,49.27,94.62,6.39,0.0,78.38,94.62,77.01,93.16,7.42,1.6,3.21,0.85,7.21,7.42,226.91,50.8
KARNATAKA,Bengaluru,Bengaluru Urban,BENGALURU U NORTH,2022-23,1997,636,31.85,68.1,26.94,726671.0,129092.0,3374.0,38.26,78.22,53.73,99.53,97.96,55.19,90.09,23.58,0.0,70.6,86.48,92.3,79.87,13.69,2.82,6.8,2.0,5.6,6.53,226.16,203.0
KARNATAKA,Bengaluru,Bengaluru Urban,BENGALURU U SOUTH,2022-23,3038,1038,34.17,65.77,24.06,1182154.0,162363.0,4344.0,37.38,80.11,52.28,99.81,94.22,46.24,88.73,27.75,0.0,65.7,88.63,89.88,84.01,11.35,2.61,5.7,1.39,6.48,6.61,226.49,156.4
KARNATAKA,Kalaburagi,Bidar,BIDAR,2022-23,2180,1521,69.77,30.14,73.17,292559.0,153754.0,6274.0,24.51,44.85,47.99,97.83,82.84,49.31,62.26,8.88,0.0,74.1,44.9,57.86,66.86,5.58,1.3,5.23,1.66,7.65,3.5,223.33,101.1
KARNATAKA,Mysuru,Chamarajanagara,CHAMARAJANAGARA,2022-23,987,838,84.9,15.1,85.21,98816.0,65712.0,2783.0,23.61,48.58,54.62,97.97,99.05,52.27,95.82,13.48,0.0,85.2,95.35,96.78,90.93,3.97,1.7,3.15,1.58,7.97,6.77,231.16,78.4
KARNATAKA,Bengaluru,Chikkaballapura,CHIKKABALLAPURA,2022-23,1782,1522,85.41,14.48,88.38,159754.0,75991.0,3799.0,20.0,45.7,54.94,99.28,94.74,38.7,72.08,12.02,0.0,54.73,86.93,82.26,92.12,3.84,1.36,2.63,0.37,7.12,5.87,226.95,49.9
