state,division,revenue_district,district,block,gram_panchayat,academic_year,n_schools_4_6,n_schools_govt,pct_govt_schools,pct_private_schools,pct_rural_schools,enrolment_all,enrolment_govt,teachers_govt,ptr_govt,pct_female_teachers_govt,pct_teachers_graduate_plus_govt,pct_sch_electricity_govt,pct_sch_library_govt,pct_sch_playground_govt,pct_sch_tapwater_functional_govt,pct_sch_internet_govt,pct_sch_computer_lab_govt,pct_sch_ramps_govt,pct_sch_reading_corner_govt,pct_sch_handwash_meal_govt,pct_sch_kannada_medium_govt,pct_sch_preprimary_govt,girls_func_toilets_per_school_govt,good_classrooms_per_school_govt,acad_inspections_per_school_govt,crc_coordinators_per_school_govt,smc_meetings_per_school_govt,mean_instruction_days_govt,avg_govt_school_size
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,ADAGAL,2022-23,3,3,100.0,0.0,100.0,980.0,980.0,25.0,39.2,56.0,40.0,100.0,100.0,66.67,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,1.33,7.67,1.0,9.33,9.33,225.33,326.7
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,ALUR-SK,2022-23,5,5,100.0,0.0,100.0,740.0,740.0,21.0,35.24,28.57,76.19,100.0,60.0,60.0,100.0,20.0,0.0,100.0,100.0,80.0,100.0,0.0,0.6,2.6,0.6,6.2,5.8,230.25,148.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,ANAWAL,2022-23,5,5,100.0,0.0,100.0,746.0,746.0,14.0,53.29,42.86,64.29,100.0,100.0,100.0,100.0,20.0,0.0,100.0,40.0,80.0,100.0,0.0,1.4,4.2,5.4,10.6,2.8,229.75,149.2
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,BELUR,2022-23,5,4,80.0,20.0,100.0,975.0,956.0,36.0,26.56,36.11,44.44,100.0,100.0,100.0,100.0,25.0,0.0,100.0,100.0,75.0,100.0,50.0,1.0,14.25,0.5,6.5,9.0,238.0,239.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,CHOLACHAGUD,2022-23,11,10,90.91,9.09,100.0,1654.0,1155.0,42.0,27.5,47.62,61.9,100.0,100.0,70.0,80.0,50.0,0.0,90.0,100.0,70.0,90.0,10.0,0.9,4.2,1.1,8.4,6.6,229.89,115.5
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,FAKIRBHUDIHAL,2022-23,8,8,100.0,0.0,100.0,975.0,975.0,29.0,33.62,27.59,75.86,100.0,100.0,75.0,100.0,37.5,0.0,100.0,87.5,62.5,100.0,12.5,1.0,3.75,0.62,8.12,6.12,235.71,121.9
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,HALDUR,2022-23,5,5,100.0,0.0,100.0,789.0,789.0,28.0,28.18,53.57,67.86,100.0,100.0,20.0,100.0,0.0,0.0,100.0,80.0,80.0,100.0,0.0,1.0,4.4,0.6,7.6,6.0,233.8,157.8
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,HALIGERI,2022-23,2,2,100.0,0.0,100.0,359.0,359.0,6.0,59.83,0.0,50.0,100.0,100.0,100.0,50.0,0.0,0.0,50.0,100.0,100.0,100.0,0.0,1.0,4.5,1.0,8.0,3.5,232.0,179.5
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,HALKURKI,2022-23,8,7,87.5,12.5,100.0,1773.0,1631.0,63.0,25.89,38.1,66.67,100.0,100.0,85.71,100.0,100.0,0.0,100.0,100.0,100.0,57.14,0.0,5.0,5.57,1.57,8.29,7.43,233.83,233.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,HANAPUR-SP,2022-23,4,4,100.0,0.0,100.0,599.0,599.0,22.0,27.23,36.36,68.18,100.0,100.0,75.0,100.0,25.0,0.0,75.0,100.0,50.0,100.0,0.0,1.0,6.5,1.0,6.75,3.75,229.0,149.8
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,HANGARAGI,2022-23,4,4,100.0,0.0,100.0,737.0,737.0,31.0,23.77,38.71,64.52,100.0,100.0,50.0,100.0,25.0,0.0,100.0,100.0,75.0,75.0,0.0,0.75,6.75,1.0,10.0,10.0,239.5,184.2
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,HANSANUR,2022-23,4,4,100.0,0.0,100.0,620.0,620.0,18.0,34.44,50.0,66.67,100.0,75.0,75.0,100.0,50.0,0.0,75.0,75.0,50.0,100.0,0.0,1.5,5.5,1.75,7.25,7.0,233.5,155.0
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,HEBBALI,2022-23,7,6,85.71,14.29,100.0,1011.0,602.0,24.0,25.08,37.5,29.17,100.0,100.0,83.33,100.0,33.33,0.0,100.0,100.0,100.0,83.33,0.0,1.17,4.17,3.33,7.83,5.83,231.6,100.3
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,HOSUR,2022-23,7,7,100.0,0.0,100.0,990.0,990.0,32.0,30.94,37.5,62.5,100.0,100.0,28.57,100.0,28.57,0.0,85.71,71.43,85.71,85.71,0.0,1.0,5.0,0.86,8.86,4.57,228.0,141.4
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,HULIGERI,2022-23,8,7,87.5,12.5,100.0,727.0,674.0,22.0,30.64,45.45,36.36,100.0,85.71,57.14,100.0,28.57,0.0,100.0,85.71,42.86,100.0,14.29,0.86,3.86,0.86,4.57,4.86,230.0,96.3
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,HULLIKERI,2022-23,7,7,100.0,0.0,100.0,809.0,809.0,20.0,40.45,75.0,65.0,100.0,100.0,71.43,100.0,57.14,0.0,100.0,85.71,71.43,100.0,0.0,1.71,3.71,1.29,23.29,6.86,229.14,115.6
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,JALIHAL,2022-23,5,4,80.0,20.0,100.0,672.0,537.0,23.0,23.35,78.26,39.13,100.0,100.0,75.0,100.0,0.0,0.0,100.0,100.0,75.0,75.0,0.0,0.75,4.5,1.25,6.25,6.0,224.0,134.2
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,JAMANKATTI,2022-23,3,3,100.0,0.0,100.0,440.0,440.0,12.0,36.67,8.33,16.67,100.0,100.0,66.67,100.0,0.0,0.0,100.0,100.0,66.67,100.0,0.0,1.0,5.67,1.0,10.33,9.0,227.0,146.7
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,KAINAKATTI,2022-23,7,7,100.0,0.0,100.0,808.0,808.0,23.0,35.13,8.7,65.22,100.0,100.0,57.14,100.0,14.29,0.0,100.0,85.71,85.71,100.0,0.0,1.0,3.71,0.86,6.14,5.86,231.83,115.4
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,KAKNUR,2022-23,5,5,100.0,0.0,100.0,777.0,777.0,22.0,35.32,63.64,68.18,100.0,80.0,80.0,100.0,20.0,0.0,100.0,100.0,100.0,80.0,0.0,0.8,4.6,0.8,8.2,11.2,235.33,155.4
KARNATAKA,Belagavi,Bagalkote,BAGALKOT,BADAMI,KATAGERI,2022-23,7,5,71.43,28.57,100.0,1057.0,901.0,24.0,37.54,58.33,54.17,100.0,100.0,100.0,100.0,20.0,0.0,100.0,100.0,100.0,100.0,0.0,0.8,6.2,0.8,9.2,6.0,228.0,180.2
