District,2022-23 Boys,2022-23 Girls,2022-23 Total,2022-23 % Girls,2023-24 Boys,2023-24 Girls,2023-24 Total,2023-24 % Girls,2024-25 Boys,2024-25 Girls,2024-25 Total,2024-25 % Girls
Bagalkot,88094,93175,181269,51.4,82158,88549,170707,51.9,76732,84183,160915,52.3
Ballari,55896,60595,116491,52.0,53005,58204,111209,52.3,51904,57818,109722,52.7
Belagavi,204269,214715,418984,51.2,193138,205673,398811,51.6,183016,198244,381260,52.0
Bengaluru Rural,24771,25500,50271,50.7,22864,23371,46235,50.5,21300,21646,42946,50.4
Bengaluru Urban,34782,33434,68216,49.0,30825,29825,60650,49.2,29585,28559,58144,49.1
Bidar,56651,67924,124575,54.5,52839,63445,116284,54.6,48141,58376,106517,54.8
Chamarajanagara,32605,32942,65547,50.3,29963,30532,60495,50.5,28026,28878,56904,50.7
Chikkaballapura,34914,36707,71621,51.3,31427,33669,65096,51.7,28768,31127,59895,52.0
Chikkamangaluru,34595,33425,68020,49.1,32300,31176,63476,49.1,30467,29687,60154,49.4
Chitradurga,64799,64238,129037,49.8,58632,59697,118329,50.5,54945,56629,111574,50.8
Dakshina Kannada,50027,48945,98972,49.5,47652,46991,94643,49.7,46123,45438,91561,49.6
Davanagere,47521,50096,97617,51.3,43759,46764,90523,51.7,39857,43006,82863,51.9
Dharwad,53120,54135,107255,50.5,49259,51590,100849,51.2,46244,49210,95454,51.6
Gadag,43669,45462,89131,51.0,41032,43334,84366,51.4,38861,41652,80513,51.7
Hassan,50415,50023,100438,49.8,44571,44939,89510,50.2,40589,41281,81870,50.4
Haveri,75048,77992,153040,51.0,70227,74072,144299,51.3,67171,71604,138775,51.6
Kalburgi,119684,128187,247871,51.7,112081,121033,233114,51.9,104473,115024,219497,52.4
Kodagu,13841,14122,27963,50.5,12611,12820,25431,50.4,11903,12134,24037,50.5
Kolar,40350,42771,83121,51.5,36055,38643,74698,51.7,32229,35436,67665,52.4
Koppal,95266,95626,190892,50.1,90794,91907,182701,50.3,87541,89940,177481,50.7
Mandya,48761,47684,96445,49.4,42633,42538,85171,49.9,38047,38383,76430,50.2
Mysuru,79111,80299,159410,50.4,71871,74026,145897,50.7,66149,68940,135089,51.0
Raichur,119682,122201,241883,50.5,113112,117288,230400,50.9,108229,113556,221785,51.2
Ramanagara,28993,27982,56975,49.1,25946,25395,51341,49.5,23712,23574,47286,49.9
Shivamogga,55662,54859,110521,49.6,50764,50114,100878,49.7,47746,47612,95358,49.9
Tumakuru,83213,84827,168040,50.5,75837,78342,154179,50.8,70175,73782,143957,51.3
Udupi,32293,30657,62950,48.7,31424,29564,60988,48.5,30932,28991,59923,48.4
Uttara Kannada,53299,53708,107007,50.2,51215,51898,103113,50.3,49887,50759,100646,50.4
Vijayanagara,66844,67050,133894,50.1,62908,63817,126725,50.4,61862,63477,125339,50.6
Vijayapura,117369,120635,238004,50.7,110420,115064,225484,51.0,103848,110479,214327,51.5
Yadagiri,79621,81210,160831,50.5,75182,77526,152708,50.8,70938,74254,145192,51.1
"Karnataka (Rural, State Govt)",1985165,2041126,4026291,50.7,1846504,1921806,3768310,51.0,1739400,1833679,3573079,51.3

Filter: rural schools (rural_urban=Rural) AND State Government management group. All grades incl pre-primary. 31 administrative districts (UDISE educational-district splits merged). Source: UDISE+ microdata 2022-23 to 2024-25.
