District,2022-23 Boys,2022-23 Girls,2022-23 Total,2022-23 % Girls,2023-24 Boys,2023-24 Girls,2023-24 Total,2023-24 % Girls,2024-25 Boys,2024-25 Girls,2024-25 Total,2024-25 % Girls
Bagalkot,27293.0,28713.0,56006.0,51.3,25391.0,27551.0,52942.0,52.0,24811.0,27106.0,51917.0,52.2
Ballari,16510.0,18083.0,34593.0,52.3,16170.0,17948.0,34118.0,52.6,16342.0,17949.0,34291.0,52.3
Belagavi,66633.0,70629.0,137262.0,51.5,63137.0,68559.0,131696.0,52.1,61967.0,67169.0,129136.0,52.0
Bengaluru Rural,7197.0,7420.0,14617.0,50.8,7253.0,7524.0,14777.0,50.9,7286.0,7461.0,14747.0,50.6
Bengaluru Urban,11335.0,10883.0,22218.0,49.0,10186.0,9717.0,19903.0,48.8,10380.0,10110.0,20490.0,49.3
Bidar,16169.0,20196.0,36365.0,55.5,16177.0,19674.0,35851.0,54.9,16852.0,20113.0,36965.0,54.4
Chamarajanagara,9888.0,9885.0,19773.0,50.0,9694.0,9755.0,19449.0,50.2,9066.0,9360.0,18426.0,50.8
Chikkaballapura,10062.0,10758.0,20820.0,51.7,9912.0,10804.0,20716.0,52.2,9624.0,10289.0,19913.0,51.7
Chikkamangaluru,10561.0,10076.0,20637.0,48.8,10291.0,9895.0,20186.0,49.0,10029.0,9699.0,19728.0,49.2
Chitradurga,21121.0,21041.0,42162.0,49.9,20366.0,21049.0,41415.0,50.8,20356.0,20732.0,41088.0,50.5
Dakshina Kannada,13500.0,12867.0,26367.0,48.8,13977.0,13683.0,27660.0,49.5,14134.0,13869.0,28003.0,49.5
Davanagere,14746.0,14802.0,29548.0,50.1,14262.0,15102.0,29364.0,51.4,13728.0,14557.0,28285.0,51.5
Dharwad,17600.0,17548.0,35148.0,49.9,16398.0,17170.0,33568.0,51.1,15795.0,16638.0,32433.0,51.3
Gadag,14455.0,14533.0,28988.0,50.1,13730.0,13999.0,27729.0,50.5,13936.0,13900.0,27836.0,49.9
Hassan,14424.0,14245.0,28669.0,49.7,13798.0,13966.0,27764.0,50.3,12551.0,12797.0,25348.0,50.5
Haveri,25335.0,25807.0,51142.0,50.5,24547.0,25484.0,50031.0,50.9,24055.0,24582.0,48637.0,50.5
Kalburgi,34552.0,37486.0,72038.0,52.0,33375.0,36790.0,70165.0,52.4,33664.0,37061.0,70725.0,52.4
Kodagu,4091.0,4110.0,8201.0,50.1,3843.0,3891.0,7734.0,50.3,3869.0,3740.0,7609.0,49.2
Kolar,11740.0,12343.0,24083.0,51.3,11146.0,12436.0,23582.0,52.7,10548.0,11599.0,22147.0,52.4
Koppal,29206.0,29196.0,58402.0,50.0,28034.0,28459.0,56493.0,50.4,28744.0,28839.0,57583.0,50.1
Mandya,13680.0,13254.0,26934.0,49.2,13125.0,13205.0,26330.0,50.2,12044.0,12129.0,24173.0,50.2
Mysuru,22433.0,22992.0,45425.0,50.6,21924.0,23264.0,45188.0,51.5,20712.0,21977.0,42689.0,51.5
Raichur,36709.0,37294.0,74003.0,50.4,34535.0,36372.0,70907.0,51.3,35039.0,37711.0,72750.0,51.8
Ramanagara,8646.0,8078.0,16724.0,48.3,8361.0,8175.0,16536.0,49.4,7864.0,7620.0,15484.0,49.2
Shivamogga,17526.0,17123.0,34649.0,49.4,16893.0,16700.0,33593.0,49.7,16218.0,16049.0,32267.0,49.7
Tumakuru,26587.0,26408.0,52995.0,49.8,25793.0,26295.0,52088.0,50.5,24285.0,24855.0,49140.0,50.6
Udupi,8214.0,7732.0,15946.0,48.5,8427.0,7842.0,16269.0,48.2,9061.0,8347.0,17408.0,47.9
Uttara Kannada,17773.0,17621.0,35394.0,49.8,17359.0,17675.0,35034.0,50.5,17452.0,17280.0,34732.0,49.8
Vijayanagara,22128.0,22272.0,44400.0,50.2,21478.0,21812.0,43290.0,50.4,21259.0,21657.0,42916.0,50.5
Vijayapura,39487.0,40781.0,80268.0,50.8,36577.0,38866.0,75443.0,51.5,37419.0,39669.0,77088.0,51.5
Yadagiri,25102.0,25536.0,50638.0,50.4,23274.0,24212.0,47486.0,51.0,23599.0,24879.0,48478.0,51.3
