,Number Sense,Place Value,Addition,Subtraction,Multiplication,Division,Fractions,Measurement,Mensuration,Shapes,Data Handling
Number Sense,1.0,0.443,0.47,0.466,0.494,0.486,0.318,0.485,0.408,0.402,0.411
Place Value,0.443,1.0,0.35,0.352,0.343,0.363,0.28,0.365,0.24,0.313,0.298
Addition,0.47,0.35,1.0,0.51,0.476,0.466,0.334,0.457,0.313,0.414,0.348
Subtraction,0.466,0.352,0.51,1.0,0.517,0.516,0.311,0.466,0.349,0.381,0.381
Multiplication,0.494,0.343,0.476,0.517,1.0,0.566,0.351,0.49,0.382,0.395,0.415
Division,0.486,0.363,0.466,0.516,0.566,1.0,0.378,0.531,0.398,0.443,0.415
Fractions,0.318,0.28,0.334,0.311,0.351,0.378,1.0,0.409,,0.378,0.343
Measurement,0.485,0.365,0.457,0.466,0.49,0.531,0.409,1.0,0.419,0.551,0.483
Mensuration,0.408,0.24,0.313,0.349,0.382,0.398,,0.419,1.0,0.459,0.406
Shapes,0.402,0.313,0.414,0.381,0.395,0.443,0.378,0.551,0.459,1.0,0.379
Data Handling,0.411,0.298,0.348,0.381,0.415,0.415,0.343,0.483,0.406,0.379,1.0
