competency,Grade,year,pct_correct
Addition,4,2022-23,60.42253521126761
Addition,4,2023-24,49.05632725882503
Addition,4,2024-25,66.41325220258544
Addition,5,2022-23,66.32232865575625
Addition,5,2023-24,53.36463368708289
Addition,5,2024-25,55.037547547155015
Addition,6,2022-23,70.28595207436952
Addition,6,2023-24,68.5621766773289
Addition,6,2024-25,64.3281421171134
Data Handling,4,2023-24,56.74971326621639
Data Handling,5,2023-24,63.68171182684175
Data Handling,5,2024-25,65.14254342966943
Data Handling,6,2023-24,56.111045294791296
Data Handling,6,2024-25,53.8537761556374
Division,4,2022-23,39.55455288811154
Division,4,2023-24,40.44411877150503
Division,4,2024-25,45.146213149146476
Division,5,2022-23,52.672523998311604
Division,5,2023-24,41.49303304749381
Division,5,2024-25,39.02837143641426
Division,6,2022-23,55.01135852098447
Division,6,2023-24,46.06813305427214
Division,6,2024-25,37.64237309595768
Fractions,4,2022-23,40.49223669663029
Fractions,4,2023-24,51.57257550656302
Fractions,5,2022-23,62.86716623661235
Fractions,5,2023-24,77.20074824514289
Fractions,6,2022-23,72.73222155920564
Fractions,6,2023-24,71.29552843923179
Measurement,4,2022-23,50.33921551764232
Measurement,4,2023-24,43.77915126800051
Measurement,4,2024-25,62.152539490991124
Measurement,5,2022-23,46.52804778904952
Measurement,5,2023-24,46.34798402240882
Measurement,5,2024-25,51.66101402374563
Measurement,6,2022-23,56.09085609413113
Measurement,6,2023-24,56.712277376298225
Measurement,6,2024-25,46.95298178395072
Mensuration,6,2024-25,55.56803355848788
Multiplication,4,2022-23,51.49353614069605
Multiplication,4,2023-24,45.37020683089259
Multiplication,4,2024-25,54.903504023363155
Multiplication,5,2022-23,59.635869473205226
Multiplication,5,2023-24,55.47725322418338
Multiplication,5,2024-25,47.70450178424375
Multiplication,6,2022-23,50.949509542204495
Multiplication,6,2023-24,43.23803312229353
Multiplication,6,2024-25,35.10741329082341
Number Sense,4,2022-23,58.412730933113615
Number Sense,4,2023-24,58.44176118261756
Number Sense,4,2024-25,63.83590559735452
Number Sense,5,2022-23,71.46972535435297
Number Sense,5,2023-24,63.48353798949247
Number Sense,5,2024-25,57.3085389894381
Number Sense,6,2022-23,59.61252149223674
Number Sense,6,2023-24,54.52092515159864
Number Sense,6,2024-25,52.14998028534852
Place Value,4,2022-23,46.906696149593806
Place Value,4,2023-24,48.52650694532942
Place Value,4,2024-25,54.15143876836282
Place Value,5,2022-23,58.10505107631402
Place Value,5,2023-24,54.9015613135036
Place Value,5,2024-25,59.091800321556015
Place Value,6,2024-25,56.55397929018513
Shapes,4,2022-23,49.59236648560304
Shapes,4,2023-24,35.00764623422964
Shapes,4,2024-25,65.60607432326188
Shapes,5,2022-23,51.15451910501573
Shapes,5,2023-24,46.63783576883423
Shapes,5,2024-25,45.98398102035214
Shapes,6,2022-23,68.7954733414989
Shapes,6,2023-24,57.04541965671365
Shapes,6,2024-25,63.9992182898163
Subtraction,4,2022-23,42.64433014469067
Subtraction,4,2023-24,54.22327003950554
Subtraction,4,2024-25,48.17074623451996
Subtraction,5,2022-23,50.510321303594786
Subtraction,5,2023-24,39.44832354811426
Subtraction,5,2024-25,52.05825261754441
Subtraction,6,2022-23,66.57140360229667
Subtraction,6,2023-24,51.93500178790691
Subtraction,6,2024-25,44.007716248325
