canonical_district,grade,year,basis,assessed,enrolled,coverage_pct
Bagalkote,4,2022-23,broad,1262,25978.0,4.9
Bagalkote,4,2023-24,broad,7436,24547.0,30.3
Bagalkote,4,2024-25,broad,12618,28800.0,43.8
Bagalkote,5,2022-23,broad,1320,28272.0,4.7
Bagalkote,5,2023-24,broad,7621,25658.0,29.7
Bagalkote,5,2024-25,broad,11184,24071.0,46.5
Bagalkote,6,2022-23,broad,1167,29015.0,4.0
Bagalkote,6,2023-24,broad,7662,29050.0,26.4
Bagalkote,6,2024-25,broad,10874,26199.0,41.5
Ballari,4,2022-23,broad,4712,16123.0,29.2
Ballari,4,2023-24,broad,4405,15425.0,28.6
Ballari,4,2024-25,broad,6589,17734.0,37.2
Ballari,5,2022-23,broad,4835,16351.0,29.6
Ballari,5,2023-24,broad,4487,16023.0,28.0
Ballari,5,2024-25,broad,6354,15187.0,41.8
Ballari,6,2022-23,broad,4575,17219.0,26.6
Ballari,6,2023-24,broad,4268,17126.0,24.9
Ballari,6,2024-25,broad,5836,16388.0,35.6
Belagavi,4,2022-23,broad,2168,62389.0,3.5
Belagavi,4,2023-24,broad,13641,59800.0,22.8
Belagavi,4,2024-25,broad,23047,65546.0,35.2
Belagavi,5,2022-23,broad,2272,66204.0,3.4
Belagavi,5,2023-24,broad,13929,61899.0,22.5
Belagavi,5,2024-25,broad,21909,59253.0,37.0
Belagavi,6,2022-23,broad,2229,67697.0,3.3
Belagavi,6,2023-24,broad,14831,68176.0,21.8
Belagavi,6,2024-25,broad,21666,63204.0,34.3
Bengaluru Rural,4,2022-23,broad,3318,6855.0,48.4
Bengaluru Rural,4,2023-24,broad,3186,6818.0,46.7
Bengaluru Rural,4,2024-25,broad,3155,7316.0,43.1
Bengaluru Rural,5,2022-23,broad,3561,6822.0,52.2
Bengaluru Rural,5,2023-24,broad,3125,6714.0,46.5
Bengaluru Rural,5,2024-25,broad,3120,6689.0,46.6
Bengaluru Rural,6,2022-23,broad,2732,6507.0,42.0
Bengaluru Rural,6,2023-24,broad,2888,6909.0,41.8
Bengaluru Rural,6,2024-25,broad,2546,6678.0,38.1
Bidar,4,2022-23,broad,5045,18462.0,27.3
Bidar,4,2023-24,broad,4359,17888.0,24.4
Bidar,4,2024-25,broad,5161,20612.0,25.0
Bidar,5,2022-23,broad,5113,17055.0,30.0
Bidar,5,2023-24,broad,4440,18090.0,24.5
Bidar,5,2024-25,broad,4950,17072.0,29.0
Bidar,6,2022-23,broad,5131,20117.0,25.5
Bidar,6,2023-24,broad,4169,17527.0,23.8
Bidar,6,2024-25,broad,4565,17530.0,26.0
Chamarajanagara,4,2022-23,broad,3913,8268.0,47.3
Chamarajanagara,4,2023-24,broad,2334,7585.0,30.8
Chamarajanagara,4,2024-25,broad,3866,7930.0,48.8
Chamarajanagara,5,2022-23,broad,4616,8958.0,51.5
Chamarajanagara,5,2023-24,broad,2584,8046.0,32.1
Chamarajanagara,5,2024-25,broad,3924,7410.0,53.0
Chamarajanagara,6,2022-23,broad,3146,7869.0,40.0
Chamarajanagara,6,2023-24,broad,2382,9293.0,25.6
Chamarajanagara,6,2024-25,broad,3411,8395.0,40.6
Chikkaballapura,4,2022-23,broad,4001,8883.0,45.0
Chikkaballapura,4,2023-24,broad,4096,8735.0,46.9
Chikkaballapura,4,2024-25,broad,5075,8864.0,57.3
Chikkaballapura,5,2022-23,broad,4195,9233.0,45.4
Chikkaballapura,5,2023-24,broad,4098,8537.0,48.0
Chikkaballapura,5,2024-25,broad,5257,8394.0,62.6
Chikkaballapura,6,2022-23,broad,2792,8589.0,32.5
Chikkaballapura,6,2023-24,broad,3015,9241.0,32.6
Chikkaballapura,6,2024-25,broad,3806,8552.0,44.5
Chikkamagaluru,4,2023-24,broad,4897,7880.0,62.1
Chikkamagaluru,4,2024-25,broad,5112,8583.0,59.6
Chikkamagaluru,5,2023-24,broad,5424,8581.0,63.2
Chikkamagaluru,5,2024-25,broad,4792,7859.0,61.0
Chikkamagaluru,6,2023-24,broad,4473,9065.0,49.3
Chikkamagaluru,6,2024-25,broad,4196,8878.0,47.3
Chitradurga,4,2022-23,broad,10028,16381.0,61.2
Chitradurga,4,2023-24,broad,9662,16390.0,59.0
Chitradurga,4,2024-25,broad,10624,17562.0,60.5
Chitradurga,5,2022-23,broad,11114,17571.0,63.3
Chitradurga,5,2023-24,broad,9635,16254.0,59.3
Chitradurga,5,2024-25,broad,10278,16209.0,63.4
