geo_district,assessed,enrolled,coverage_pct
Bagalkote,61144,160865.0,38.0
Ballari,107470,233608.0,46.0
Belagavi,115692,398094.0,29.1
Bengaluru Rural,27631,44141.0,62.6
Bidar,42933,109181.0,39.3
Chamarajanagara,30176,57648.0,52.3
Chikkaballapura,36335,61449.0,59.1
Chikkamagaluru,28894,39914.0,72.4
Chitradurga,87338,124665.0,70.1
Dakshina Kannada,1623,26367.0,6.2
Davanagere,38336,87197.0,44.0
Dharwad,66812,101149.0,66.1
Gadag,51411,84553.0,60.8
Hassan,45217,81781.0,55.3
Haveri,53991,149810.0,36.0
Kalaburagi,91647,212928.0,43.0
Kodagu,13547,23544.0,57.5
Kolar,34379,69812.0,49.2
Koppal,63307,172478.0,36.7
Mandya,42375,77437.0,54.7
Mysuru,41596,133302.0,31.2
Raichur,70124,217660.0,32.2
Ramanagara,24946,48744.0,51.2
Tumakuru,84111,154223.0,54.5
Udupi,2815,15946.0,17.7
Uttara Kannada,801,35394.0,2.3
Vijayapura,69583,232799.0,29.9
Yadgir,44853,146602.0,30.6
