canonical_district,4,4,4,5,5,5,6,6,6,mean_coverage_pct
,2022-23,2023-24,2024-25,2022-23,2023-24,2024-25,2022-23,2023-24,2024-25,
Uttara Kannada,2.3,,,2.5,,,2.0,,,2.3
Dakshina Kannada,6.0,,,6.4,,,6.0,,,6.1
Udupi,16.1,,,22.6,,,15.2,,,18.0
Belagavi,4.9,32.2,50.8,4.8,32.3,52.4,4.8,32.1,51.6,29.5
Vijayapura,3.3,29.4,52.8,3.1,29.6,62.6,3.3,29.5,60.2,30.4
Yadgir,28.0,28.3,31.6,28.6,30.4,38.0,27.8,27.9,35.8,30.7
Mysuru,6.2,23.1,68.2,6.7,22.6,72.5,6.1,20.7,61.6,32.0
Raichur,36.0,27.0,29.2,36.8,30.3,34.1,35.7,28.3,32.7,32.2
Haveri,9.7,40.1,60.4,10.3,39.6,61.1,10.2,38.9,57.8,36.5
Koppal,35.7,35.7,38.5,37.4,38.0,41.9,30.4,33.0,40.0,36.7
Bagalkote,7.2,44.0,66.4,6.8,44.4,68.5,6.1,40.6,65.6,38.8
Bidar,40.9,34.6,36.7,45.1,36.6,41.8,40.4,37.4,41.3,39.4
Kalaburagi,46.5,39.5,39.0,48.3,42.5,45.0,45.3,38.7,42.9,43.1
Davanagere,25.1,39.7,71.1,25.9,40.1,72.7,23.1,35.1,65.8,44.3
Ballari,42.1,39.2,53.9,42.0,40.6,58.0,38.5,36.0,52.5,44.8
Vijayanagara,44.7,43.6,54.6,44.2,47.4,55.6,38.8,41.9,53.2,47.1
Kolar,28.3,64.8,59.2,29.4,67.3,63.3,25.8,57.2,49.0,49.4
Ramanagara,9.3,82.5,69.2,8.8,84.4,70.8,8.4,72.2,60.0,51.7
Chamarajanagara,60.2,39.1,63.0,63.8,40.9,66.9,52.0,33.3,53.1,52.5
Tumakuru,35.6,62.2,72.6,37.8,65.7,73.2,31.9,54.8,60.0,54.9
Mandya,19.5,80.5,74.6,19.0,81.8,78.5,16.7,67.7,62.5,55.6
Hassan,19.4,76.7,85.4,20.3,76.1,86.5,16.9,59.9,68.2,56.6
Kodagu,62.8,58.7,55.8,67.7,57.2,65.0,53.4,49.4,50.0,57.8
Chikkaballapura,56.0,58.2,74.3,56.8,60.2,78.0,44.3,43.8,60.0,59.1
Gadag,41.7,68.5,74.8,40.2,68.4,74.7,40.6,65.8,75.1,61.1
Bengaluru Rural,65.6,63.2,60.4,71.3,64.2,64.1,59.8,59.4,54.7,62.5
Dharwad,58.4,65.3,77.4,57.1,69.5,80.9,55.0,60.8,73.2,66.4
Chitradurga,72.1,69.6,73.0,74.4,71.4,75.2,63.7,64.2,66.2,70.0
Chikkamagaluru,,77.7,76.2,,79.8,77.4,,63.2,61.5,72.6
