canonical_district,Year,g,assessed,enrolled,coverage_pct
Bagalkote,2022-23,boys,1625,27293.0,6.0
Ballari,2022-23,boys,6224,16510.0,37.7
Belagavi,2022-23,boys,3047,66633.0,4.6
Bengaluru Rural,2022-23,boys,4630,7197.0,64.3
Bengaluru Urban,2022-23,boys,0,11335.0,0.0
Bidar,2022-23,boys,6384,16169.0,39.5
Chamarajanagara,2022-23,boys,5573,9888.0,56.4
Chikkaballapura,2022-23,boys,5277,10062.0,52.4
Chikkamagaluru,2022-23,boys,0,10561.0,0.0
Chitradurga,2022-23,boys,14440,21121.0,68.4
Dakshina Kannada,2022-23,boys,828,13500.0,6.1
Davanagere,2022-23,boys,3558,14746.0,24.1
Dharwad,2022-23,boys,9934,17600.0,56.4
Gadag,2022-23,boys,5595,14455.0,38.7
Hassan,2022-23,boys,2769,14424.0,19.2
Haveri,2022-23,boys,2625,25335.0,10.4
Kalaburagi,2022-23,boys,14966,34552.0,43.3
Kodagu,2022-23,boys,2408,4091.0,58.9
Kolar,2022-23,boys,3256,11740.0,27.7
Koppal,2022-23,boys,9364,29206.0,32.1
Mandya,2022-23,boys,2543,13680.0,18.6
Mysuru,2022-23,boys,1395,22433.0,6.2
Raichur,2022-23,boys,12492,36709.0,34.0
Ramanagara,2022-23,boys,737,8646.0,8.5
Shivamogga,2022-23,boys,0,17526.0,0.0
Tumakuru,2022-23,boys,9169,26587.0,34.5
Udupi,2022-23,boys,1409,8214.0,17.2
Uttara Kannada,2022-23,boys,420,17773.0,2.4
Vijayanagara,2022-23,boys,8741,22128.0,39.5
Vijayapura,2022-23,boys,1219,39487.0,3.1
Yadgir,2022-23,boys,6832,25102.0,27.2
Bagalkote,2022-23,girls,2124,28713.0,7.4
Ballari,2022-23,girls,7898,18083.0,43.7
Belagavi,2022-23,girls,3622,70629.0,5.1
Bengaluru Rural,2022-23,girls,4981,7420.0,67.1
Bengaluru Urban,2022-23,girls,0,10883.0,0.0
Bidar,2022-23,girls,8905,20196.0,44.1
Chamarajanagara,2022-23,girls,6102,9885.0,61.7
Chikkaballapura,2022-23,girls,5711,10758.0,53.1
Chikkamagaluru,2022-23,girls,0,10076.0,0.0
Chitradurga,2022-23,girls,15181,21041.0,72.1
Dakshina Kannada,2022-23,girls,795,12867.0,6.2
Davanagere,2022-23,girls,3753,14802.0,25.4
Dharwad,2022-23,girls,10014,17548.0,57.1
Gadag,2022-23,girls,6244,14533.0,43.0
Hassan,2022-23,girls,2672,14245.0,18.8
Haveri,2022-23,girls,2520,25807.0,9.8
Kalaburagi,2022-23,girls,18688,37486.0,49.9
Kodagu,2022-23,girls,2623,4110.0,63.8
Kolar,2022-23,girls,3469,12343.0,28.1
Koppal,2022-23,girls,10804,29196.0,37.0
Mandya,2022-23,girls,2433,13254.0,18.4
Mysuru,2022-23,girls,1485,22992.0,6.5
Raichur,2022-23,girls,14269,37294.0,38.3
Ramanagara,2022-23,girls,739,8078.0,9.1
Shivamogga,2022-23,girls,0,17123.0,0.0
Tumakuru,2022-23,girls,9514,26408.0,36.0
Udupi,2022-23,girls,1406,7732.0,18.2
Uttara Kannada,2022-23,girls,381,17621.0,2.2
Vijayanagara,2022-23,girls,10137,22272.0,45.5
Vijayapura,2022-23,girls,1349,40781.0,3.3
Yadgir,2022-23,girls,7423,25536.0,29.1
Bagalkote,2023-24,boys,10039,25391.0,39.5
Ballari,2023-24,boys,5604,16170.0,34.7
Belagavi,2023-24,boys,18592,63137.0,29.4
Bengaluru Rural,2023-24,boys,4365,7253.0,60.2
Bengaluru Urban,2023-24,boys,0,10186.0,0.0
Bidar,2023-24,boys,5207,16177.0,32.2
Chamarajanagara,2023-24,boys,3386,9694.0,34.9
Chikkaballapura,2023-24,boys,5380,9912.0,54.3
Chikkamagaluru,2023-24,boys,7483,10291.0,72.7
Chitradurga,2023-24,boys,13383,20366.0,65.7
Dakshina Kannada,2023-24,boys,0,13977.0,0.0
Davanagere,2023-24,boys,5281,14262.0,37.0
Dharwad,2023-24,boys,10226,16398.0,62.4
Gadag,2023-24,boys,8779,13730.0,63.9
Hassan,2023-24,boys,9428,13798.0,68.3
Haveri,2023-24,boys,9788,24547.0,39.9
Kalaburagi,2023-24,boys,12146,33375.0,36.4
Kodagu,2023-24,boys,2046,3843.0,53.2
Kolar,2023-24,boys,6970,11146.0,62.5
Koppal,2023-24,boys,9116,28034.0,32.5
Mandya,2023-24,boys,9715,13125.0,74.0
Mysuru,2023-24,boys,4453,21924.0,20.3
Raichur,2023-24,boys,8923,34535.0,25.8
Ramanagara,2023-24,boys,6695,8361.0,80.1
Shivamogga,2023-24,boys,0,16893.0,0.0
Tumakuru,2023-24,boys,15280,25793.0,59.2
Udupi,2023-24,boys,0,8427.0,0.0
Uttara Kannada,2023-24,boys,0,17359.0,0.0
Vijayanagara,2023-24,boys,8633,21478.0,40.2
Vijayapura,2023-24,boys,9971,36577.0,27.3
Yadgir,2023-24,boys,6231,23274.0,26.8
Bagalkote,2023-24,girls,12680,27551.0,46.0
Ballari,2023-24,girls,7556,17948.0,42.1
Belagavi,2023-24,girls,23809,68559.0,34.7
Bengaluru Rural,2023-24,girls,4834,7524.0,64.2
Bengaluru Urban,2023-24,girls,0,9717.0,0.0
Bidar,2023-24,girls,7761,19674.0,39.4
Chamarajanagara,2023-24,girls,3914,9755.0,40.1
Chikkaballapura,2023-24,girls,5829,10804.0,54.0
Chikkamagaluru,2023-24,girls,7311,9895.0,73.9
Chitradurga,2023-24,girls,14919,21049.0,70.9
Dakshina Kannada,2023-24,girls,0,13683.0,0.0
Davanagere,2023-24,girls,5965,15102.0,39.5
Dharwad,2023-24,girls,11592,17170.0,67.5
Gadag,2023-24,girls,9953,13999.0,71.1
Hassan,2023-24,girls,10120,13966.0,72.5
Haveri,2023-24,girls,9986,25484.0,39.2
Kalaburagi,2023-24,girls,16082,36790.0,43.7
Kodagu,2023-24,girls,2187,3891.0,56.2
Kolar,2023-24,girls,7938,12436.0,63.8
Koppal,2023-24,girls,10967,28459.0,38.5
Mandya,2023-24,girls,10371,13205.0,78.5
Mysuru,2023-24,girls,5520,23264.0,23.7
Raichur,2023-24,girls,11309,36372.0,31.1
Ramanagara,2023-24,girls,6455,8175.0,79.0
Shivamogga,2023-24,girls,0,16700.0,0.0
Tumakuru,2023-24,girls,16382,26295.0,62.3
Udupi,2023-24,girls,0,7842.0,0.0
Uttara Kannada,2023-24,girls,0,17675.0,0.0
Vijayanagara,2023-24,girls,10516,21812.0,48.2
Vijayapura,2023-24,girls,12293,38866.0,31.6
Yadgir,2023-24,girls,7488,24212.0,30.9
Bagalkote,2024-25,boys,15939,24811.0,64.2
Ballari,2024-25,boys,8410,16342.0,51.5
Belagavi,2024-25,boys,30256,61967.0,48.8
Bengaluru Rural,2024-25,boys,4206,7286.0,57.7
Bengaluru Urban,2024-25,boys,0,10380.0,0.0
Bidar,2024-25,boys,5939,16852.0,35.2
Chamarajanagara,2024-25,boys,5312,9066.0,58.6
Chikkaballapura,2024-25,boys,6721,9624.0,69.8
Chikkamagaluru,2024-25,boys,7012,10029.0,69.9
Chitradurga,2024-25,boys,13910,20356.0,68.3
Dakshina Kannada,2024-25,boys,0,14134.0,0.0
Davanagere,2024-25,boys,9312,13728.0,67.8
Dharwad,2024-25,boys,12251,15795.0,77.6
Gadag,2024-25,boys,9990,13936.0,71.7
Hassan,2024-25,boys,9774,12551.0,77.9
Haveri,2024-25,boys,14424,24055.0,60.0
Kalaburagi,2024-25,boys,12720,33664.0,37.8
Kodagu,2024-25,boys,2107,3869.0,54.5
Kolar,2024-25,boys,5969,10548.0,56.6
Koppal,2024-25,boys,10559,28744.0,36.7
Mandya,2024-25,boys,8467,12044.0,70.3
Mysuru,2024-25,boys,13504,20712.0,65.2
Raichur,2024-25,boys,9888,35039.0,28.2
Ramanagara,2024-25,boys,5094,7864.0,64.8
Shivamogga,2024-25,boys,0,16218.0,0.0
Tumakuru,2024-25,boys,16200,24285.0,66.7
Udupi,2024-25,boys,0,9061.0,0.0
Uttara Kannada,2024-25,boys,0,17452.0,0.0
Vijayanagara,2024-25,boys,10725,21259.0,50.4
Vijayapura,2024-25,boys,20543,37419.0,54.9
Yadgir,2024-25,boys,7741,23599.0,32.8
Bagalkote,2024-25,girls,18737,27106.0,69.1
Ballari,2024-25,girls,10369,17949.0,57.8
Belagavi,2024-25,girls,36366,67169.0,54.1
Bengaluru Rural,2024-25,girls,4615,7461.0,61.9
Bengaluru Urban,2024-25,girls,0,10110.0,0.0
Bidar,2024-25,girls,8737,20113.0,43.4
Chamarajanagara,2024-25,girls,5889,9360.0,62.9
Chikkaballapura,2024-25,girls,7417,10289.0,72.1
Chikkamagaluru,2024-25,girls,7088,9699.0,73.1
Chitradurga,2024-25,girls,15505,20732.0,74.8
Dakshina Kannada,2024-25,girls,0,13869.0,0.0
Davanagere,2024-25,girls,10467,14557.0,71.9
Dharwad,2024-25,girls,12795,16638.0,76.9
