district,mean_first,floor_first,mean_last,floor_last,mean_change_pp,floor_change_pp,floor_minus_mean_divergence_pp,years_compared,instrument_caveat
Vijayapura,74.66316,45.0,59.38359,15.0,-15.28,-30.0,-14.72,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Mandya,72.34023,45.0,56.57656,15.0,-15.76,-30.0,-14.24,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Belagavi,72.38941,40.0,61.368843,20.0,-11.02,-20.0,-8.98,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Haveri,71.86589,40.0,58.805725,20.0,-13.06,-20.0,-6.94,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Tumakuru,71.24579,35.0,62.062576,20.0,-9.18,-15.0,-5.82,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Ramanagara,67.84214,30.0,58.5344,15.0,-9.31,-15.0,-5.69,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Bagalkote,66.891174,30.0,59.36685,15.0,-7.52,-15.0,-7.48,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Ballari,48.816032,10.0,36.4873,0.0,-12.33,-10.0,2.33,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Dharwad,67.639366,30.0,61.31638,20.0,-6.32,-10.0,-3.68,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Hassan,66.13858,30.0,61.426487,20.0,-4.71,-10.0,-5.29,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Koppal,54.605564,15.0,42.159092,5.0,-12.45,-10.0,2.45,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Raichur,49.406788,10.0,44.621937,5.0,-4.78,-5.0,-0.22,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Gadag,56.33964,15.0,52.912907,10.0,-3.43,-5.0,-1.57,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Vijayanagara,52.17555,10.0,37.998245,5.0,-14.18,-5.0,9.18,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Bidar,51.78429,10.0,43.901268,5.0,-7.88,-5.0,2.88,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Bengaluru Rural,66.1336,25.0,62.730984,20.0,-3.4,-5.0,-1.6,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Yadgir,54.54437,10.0,44.03549,5.0,-10.51,-5.0,5.51,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Chikkaballapura,53.56389,10.0,48.455227,10.0,-5.11,0.0,5.11,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
