block,n_girls,n_boys,girls_pct,boys_pct,gap_pp_F_minus_M
B0089 lingasugur,7948,7055,44.0,46.66,-2.66
B0024 byndoor,327,233,84.25,86.29,-2.04
B0088 kustagi,8004,6929,47.3,49.22,-1.92
B0108 nippani,1874,1771,61.82,63.34,-1.52
B0123 shorapur,10259,9299,50.35,51.39,-1.04
B0073 jewargi,9225,7615,46.08,46.95,-0.87
B0051 hadagali,4772,3955,46.8,47.51,-0.71
B0001 afzalpur,5753,4441,46.52,47.21,-0.69
B0120 shahapur,7500,6594,46.5,47.1,-0.6
B0141 yadgir,6290,4911,45.31,45.74,-0.43
B0007 aurad,3408,2462,56.27,56.67,-0.4
B0096 manvi,7391,5195,48.89,49.19,-0.3
B0002 aland,8859,6818,42.81,42.95,-0.14
B0039 devadurga,7711,6460,42.79,42.86,-0.07
B0126 sindhanur,8083,6517,46.66,46.55,0.11
B0015 basavakalyan,6380,4130,42.16,41.66,0.5
B0161 muddebihal,5904,4973,51.21,50.71,0.5
B0125 sindagi,6783,6060,50.21,49.56,0.65
B0128 siruguppa,7787,6227,39.79,39.08,0.71
B0033 chincholi,6711,5292,41.7,40.99,0.71
B0042 doddaballapura,3943,3559,55.66,54.92,0.74
B0097 molakalmur,5666,5098,30.33,29.47,0.86
B0055 harapanahalli,9243,7830,41.73,40.82,0.91
B0105 naragund,2581,2261,54.5,53.56,0.94
B0048 gulbarga north,3183,2096,46.01,45.05,0.96
B0016 basavan bagewadi,6103,5137,63.64,62.66,0.98
B0098 mudalgi,6556,5015,50.67,49.63,1.04
B0067 hukkeri,6162,5065,70.77,69.72,1.05
B0110 raibag,4172,3059,56.8,55.63,1.17
B0045 gokak,3327,2581,67.18,66.0,1.18
B0010 bagepally,3570,3260,43.09,41.9,1.19
B0113 ramdurg,6112,5373,63.95,62.74,1.21
B0118 savanur,3300,3509,58.57,57.34,1.23
B0139 vijayapura rural,9487,7137,62.27,60.93,1.34
B0100 mulbagal,3622,3189,50.27,48.93,1.34
B0020 bidar,4534,3325,42.01,40.65,1.36
B0009 bagalkot,4579,3992,71.53,70.14,1.39
B0066 hubli,5588,5485,65.92,64.52,1.4
B0069 hunagund,5611,4603,59.36,57.9,1.46
B0081 koppal,8441,6998,50.55,49.04,1.51
B0156 krishnarajanagara,2026,1759,54.67,53.04,1.63
B0044 gangavathi,9020,7463,45.75,44.12,1.63
B0085 kuknoor,3327,2798,46.86,45.22,1.64
B0019 bhalki,5218,3686,42.41,40.73,1.68
B0065 hosapete,5487,4316,44.29,42.61,1.68
B0049 gulbarga south,4378,2999,41.18,39.49,1.69
B0047 gudibanda,1330,1220,47.27,45.57,1.7
B0032 chikodi,4224,3182,75.37,73.67,1.7
B0040 devanahalli,3029,2907,82.05,80.33,1.72
B0046 gubbi,6144,5577,73.29,71.56,1.73
B0115 ron,7542,6967,56.85,55.1,1.75
B0143 yelburga,5476,4851,47.96,46.19,1.77
B0094 malur,3656,3126,52.0,50.21,1.79
B0131 srinivasapur,3582,3359,55.16,53.35,1.81
B0008 badami,7603,6685,62.4,60.58,1.82
B0025 chadachan,3415,2886,67.84,65.91,1.93
B0057 hassan,3315,3134,63.51,61.57,1.94
B0117 sandur,6874,5695,45.1,43.13,1.97
B0140 virajpet,2586,2398,51.02,48.93,2.09
B0130 soundatti,6558,5649,70.78,68.67,2.11
B0070 indi,6045,5355,54.21,52.1,2.11
B0013 ballari west,3751,2860,41.23,39.11,2.12
B0052 hagaribommanahalli,5992,5108,44.31,42.18,2.13
B0154 koppa,1258,1179,71.56,69.4,2.16
B0168 pavagada,2013,1844,73.39,71.2,2.19
B0036 chittapur,7766,5995,36.12,33.93,2.19
B0041 dharwad,11384,10559,69.95,67.75,2.2
B0134 talikoti,113,185,77.39,75.19,2.2
