district,n_girls,n_boys,girls_pct,boys_pct,gap_pp_F_minus_M
Yadgir,24049,20804,47.83,48.7,-0.87
Raichur,38821,31303,46.63,46.49,0.14
Kalaburagi,51815,39832,42.27,41.69,0.58
Koppal,34268,29039,47.75,46.98,0.77
Bidar,25403,17530,45.88,44.72,1.16
Vijayapura,37850,31733,57.86,56.48,1.38
Vijayanagara,33310,28099,43.92,42.47,1.45
Belagavi,63797,51895,64.15,62.36,1.79
Bagalkote,33541,27603,59.81,57.94,1.87
Bengaluru Rural,14430,13201,62.48,60.6,1.88
Ballari,25823,20238,43.18,41.13,2.05
Kolar,18184,16195,53.07,50.89,2.18
Gadag,27047,24364,53.86,51.23,2.63
Dharwad,34401,32411,64.31,61.45,2.86
Chikkaballapura,18957,17378,50.13,47.21,2.92
Tumakuru,43462,40649,64.33,61.3,3.03
Chikkamagaluru,14399,14495,61.67,58.5,3.17
Chitradurga,45605,41733,44.04,40.63,3.41
Kodagu,6986,6561,56.04,52.63,3.41
Hassan,23246,21971,61.34,57.77,3.57
Udupi,1406,1409,76.17,72.37,3.8
Mandya,21650,20725,58.45,54.59,3.86
Haveri,27154,26837,60.48,56.42,4.06
Mysuru,22244,19352,57.65,53.19,4.46
Ramanagara,12420,12526,61.51,56.91,4.6
Davanagere,20185,18151,51.48,46.85,4.63
Dakshina Kannada,795,828,75.37,70.57,4.8
Chamarajanagara,15905,14271,53.62,47.37,6.25
Uttara Kannada,381,420,74.03,66.27,7.76
