grade,year,gender,n,mean_pct
4,2022-23,Girls,55958,50.566497802734375
4,2022-23,Boys,48057,48.4873161315918
4,2022-23,All,104015,49.605873107910156
4,2023-24,Girls,84969,48.56606674194336
4,2023-24,Boys,71971,46.889163970947266
4,2023-24,All,156940,47.79705810546875
4,2024-25,Girls,111475,59.0397834777832
4,2024-25,Boys,98392,56.44676208496094
4,2024-25,All,209867,57.8240966796875
5,2022-23,Girls,60265,57.3419075012207
5,2022-23,Boys,52899,54.78392791748047
5,2022-23,All,113164,56.14616775512695
5,2023-24,Girls,87663,52.13105773925781
5,2023-24,Boys,74316,50.46497344970703
5,2023-24,All,161979,51.36665725708008
5,2024-25,Girls,110454,52.3983268737793
5,2024-25,Boys,93554,50.885372161865234
5,2024-25,All,204008,51.70451736450195
6,2022-23,Girls,49019,63.28780746459961
6,2022-23,Boys,46504,61.69146728515625
6,2022-23,All,95523,62.510650634765625
6,2023-24,Girls,81105,55.92367935180664
6,2023-24,Boys,70833,52.90309524536133
6,2023-24,All,151938,54.5154914855957
6,2024-25,Girls,96626,50.38322830200195
6,2024-25,Boys,85027,48.028038024902344
6,2024-25,All,181653,49.280826568603516
