year,grade,item,pct_correct,discrimination_r,n_responses,pct_correct_F,pct_correct_M,gender_gap_pp_F_minus_M,quality_flag
2022-23,4.0,Q14,34.96,0.58,104015,35.7,34.09,1.61,ok
2022-23,4.0,Q13,38.44,0.581,104015,39.33,37.41,1.92,ok
2022-23,4.0,Q15,40.49,0.562,104015,41.6,39.21,2.39,ok
2022-23,4.0,Q7,41.3,0.54,104015,41.5,41.07,0.43,ok
2022-23,4.0,Q8,43.99,0.537,104015,45.75,41.94,3.81,ok
2022-23,4.0,Q20,44.9,0.551,104015,45.48,44.23,1.25,ok
2022-23,4.0,Q12,45.27,0.528,104015,46.25,44.12,2.13,ok
2022-23,4.0,Q2,46.91,0.466,104015,48.21,45.39,2.82,ok
2022-23,4.0,Q9,48.29,0.544,104015,49.97,46.33,3.64,ok
2022-23,4.0,Q16,48.98,0.596,104015,48.69,49.32,-0.63,ok
2022-23,4.0,Q17,49.37,0.619,104015,50.29,48.3,1.99,ok
2022-23,4.0,Q18,52.67,0.566,104015,52.59,52.76,-0.17,ok
2022-23,4.0,Q10,53.04,0.596,104015,54.34,51.52,2.82,ok
2022-23,4.0,Q11,53.15,0.599,104015,54.36,51.75,2.61,ok
2022-23,4.0,Q19,54.28,0.622,104015,55.46,52.91,2.55,ok
2022-23,4.0,Q1,55.16,0.477,104015,56.12,54.03,2.09,ok
2022-23,4.0,Q6,58.37,0.511,104015,60.34,56.08,4.26,ok
2022-23,4.0,Q4,59.58,0.437,104015,61.38,57.49,3.88,ok
2022-23,4.0,Q3,60.5,0.552,104015,61.4,59.45,1.96,ok
2022-23,4.0,Q5,62.48,0.569,104015,62.57,62.37,0.21,ok
2022-23,5.0,Q16,28.22,0.427,113164,28.2,28.24,-0.05,ok
2022-23,5.0,Q13,45.72,0.587,113164,47.16,44.09,3.06,ok
2022-23,5.0,Q6,47.23,0.519,113164,48.0,46.34,1.66,ok
2022-23,5.0,Q20,47.43,0.506,113164,48.46,46.26,2.2,ok
2022-23,5.0,Q18,48.64,0.541,113164,47.14,50.34,-3.2,ok
2022-23,5.0,Q17,48.66,0.499,113164,50.09,47.02,3.07,ok
2022-23,5.0,Q10,51.61,0.548,113164,53.57,49.38,4.19,ok
2022-23,5.0,Q12,51.63,0.598,113164,53.56,49.43,4.13,ok
2022-23,5.0,Q7,53.79,0.522,113164,55.67,51.66,4.01,ok
2022-23,5.0,Q15,54.88,0.507,113164,56.71,52.79,3.91,ok
2022-23,5.0,Q2,58.11,0.498,113164,59.68,56.31,3.37,ok
2022-23,5.0,Q19,60.6,0.583,113164,60.66,60.53,0.13,ok
2022-23,5.0,Q11,60.67,0.546,113164,61.94,59.21,2.74,ok
2022-23,5.0,Q5,62.82,0.486,113164,64.85,60.5,4.35,ok
2022-23,5.0,Q14,62.87,0.491,113164,64.08,61.49,2.6,ok
2022-23,5.0,Q8,62.9,0.528,113164,65.03,60.46,4.57,ok
2022-23,5.0,Q9,64.4,0.551,113164,66.33,62.2,4.13,ok
2022-23,5.0,Q4,69.83,0.507,113164,70.14,69.47,0.67,ok
2022-23,5.0,Q1,70.31,0.519,113164,71.95,68.45,3.5,ok
2022-23,5.0,Q3,72.63,0.516,113164,73.61,71.5,2.11,ok
2022-23,6.0,Q2,44.78,0.387,95523,45.48,44.05,1.43,ok
2022-23,6.0,Q10,47.27,0.527,95523,48.08,46.42,1.67,ok
2022-23,6.0,Q13,48.66,0.537,95523,50.25,46.97,3.28,ok
2022-23,6.0,Q19,51.19,0.489,95523,50.7,51.69,-0.99,ok
2022-23,6.0,Q11,54.63,0.556,95523,56.55,52.6,3.95,ok
2022-23,6.0,Q9,55.48,0.512,95523,56.9,53.98,2.92,ok
2022-23,6.0,Q16,57.57,0.453,95523,58.86,56.2,2.65,ok
2022-23,6.0,Q4,58.01,0.521,95523,56.04,60.08,-4.05,ok
2022-23,6.0,Q18,58.15,0.545,95523,57.28,59.07,-1.79,ok
2022-23,6.0,Q1,58.89,0.36,95523,58.02,59.79,-1.77,ok
2022-23,6.0,Q17,58.94,0.501,95523,59.26,58.59,0.66,ok
2022-23,6.0,Q12,61.37,0.572,95523,62.14,60.56,1.58,ok
2022-23,6.0,Q7,65.34,0.545,95523,66.88,63.71,3.17,ok
2022-23,6.0,Q20,66.78,0.605,95523,68.25,65.24,3.01,ok
2022-23,6.0,Q6,71.94,0.479,95523,73.76,70.03,3.72,ok
2022-23,6.0,Q14,72.73,0.467,95523,74.12,71.27,2.85,ok
2022-23,6.0,Q3,75.17,0.517,95523,75.86,74.44,1.42,ok
2022-23,6.0,Q8,78.9,0.472,95523,80.4,77.32,3.09,ok
2022-23,6.0,Q15,80.03,0.513,95523,81.1,78.89,2.2,ok
2022-23,6.0,Q5,84.41,0.431,95523,85.83,82.91,2.92,ok
2023-24,4.0,Q5,30.34,0.512,156940,30.96,29.6,1.36,ok
2023-24,4.0,Q8,34.7,0.55,156940,35.49,33.77,1.72,ok
2023-24,4.0,Q11,34.8,0.592,156940,35.55,33.92,1.63,ok
2023-24,4.0,Q19,35.01,0.463,156940,35.6,34.31,1.29,ok
2023-24,4.0,Q13,35.34,0.57,156940,36.06,34.5,1.56,ok
2023-24,4.0,Q18,36.36,0.496,156940,36.54,36.15,0.38,ok
2023-24,4.0,Q17,37.29,0.501,156940,37.94,36.52,1.42,ok
2023-24,4.0,Q2,43.48,0.45,156940,44.37,42.43,1.93,ok
2023-24,4.0,Q12,45.55,0.587,156940,45.79,45.26,0.53,ok
2023-24,4.0,Q16,46.46,0.586,156940,47.19,45.59,1.6,ok
2023-24,4.0,Q10,46.98,0.551,156940,48.41,45.3,3.11,ok
2023-24,4.0,Q14,51.57,0.503,156940,52.61,50.35,2.26,ok
2023-24,4.0,Q4,53.57,0.543,156940,54.21,52.82,1.39,ok
2023-24,4.0,Q9,54.33,0.557,156940,55.87,52.51,3.36,ok
2023-24,4.0,Q3,54.76,0.487,156940,55.77,53.55,2.22,ok
2023-24,4.0,Q15,55.01,0.572,156940,54.06,56.12,-2.06,ok
2023-24,4.0,Q20,56.75,0.585,156940,57.78,55.53,2.25,ok
2023-24,4.0,Q1,62.13,0.464,156940,62.8,61.34,1.46,ok
2023-24,4.0,Q6,67.78,0.457,156940,69.39,65.87,3.52,ok
2023-24,4.0,Q7,73.75,0.401,156940,74.94,72.34,2.6,ok
2023-24,5.0,Q6,26.86,0.495,161979,27.28,26.38,0.9,ok
2023-24,5.0,Q18,32.56,0.522,161979,31.07,34.31,-3.24,ok
2023-24,5.0,Q4,35.84,0.542,161979,36.38,35.21,1.17,ok
2023-24,5.0,Q13,39.96,0.379,161979,39.73,40.23,-0.5,ok
2023-24,5.0,Q10,40.65,0.595,161979,41.4,39.76,1.64,ok
2023-24,5.0,Q11,42.34,0.567,161979,43.91,40.47,3.44,ok
2023-24,5.0,Q17,43.74,0.49,161979,43.52,44.0,-0.48,ok
2023-24,5.0,Q9,49.8,0.532,161979,51.86,47.38,4.48,ok
2023-24,5.0,Q14,50.75,0.444,161979,51.54,49.81,1.73,ok
2023-24,5.0,Q16,51.8,0.524,161979,52.52,50.94,1.58,ok
2023-24,5.0,Q7,52.03,0.498,161979,53.25,50.6,2.65,ok
2023-24,5.0,Q15,52.9,0.55,161979,51.88,54.1,-2.22,ok
2023-24,5.0,Q19,53.31,0.518,161979,54.28,52.17,2.11,ok
2023-24,5.0,Q2,54.9,0.468,161979,55.77,53.88,1.9,ok
2023-24,5.0,Q3,57.76,0.485,161979,58.27,57.16,1.11,ok
2023-24,5.0,Q8,61.15,0.542,161979,62.77,59.24,3.53,ok
2023-24,5.0,Q20,63.68,0.576,161979,65.12,61.99,3.13,ok
2023-24,5.0,Q1,69.2,0.451,161979,70.49,67.68,2.81,ok
2023-24,5.0,Q5,70.89,0.426,161979,72.71,68.73,3.98,ok
2023-24,5.0,Q12,77.2,0.523,161979,78.85,75.26,3.59,ok
2023-24,6.0,Q11,32.84,0.553,151938,33.47,32.12,1.35,ok
2023-24,6.0,Q2,38.63,0.503,151938,39.59,37.54,2.06,ok
2023-24,6.0,Q13,41.78,0.606,151938,42.9,40.49,2.41,ok
2023-24,6.0,Q10,42.12,0.521,151938,44.53,39.36,5.17,ok
2023-24,6.0,Q6,46.3,0.491,151938,46.42,46.15,0.27,ok
