district,pct_mean,n_students,cov,adj,rank_raw,rank_adj,shift
BAGALKOTE,59.37,34676,66.79122445441763,56.978281593278226,8,7,1
BALLARI,36.49,18779,54.763640605406664,38.29929697192234,26,25,1
BELAGAVI,61.37,66622,51.59057118077066,64.28759217216718,5,1,4
BENGALURU RURAL,62.73,8821,59.81555570624534,62.77475529034654,1,2,-1
BIDAR,43.9,14676,39.702421209251995,50.969905843884725,21,17,4
CHAMARAJANAGARA,49.67,11201,60.78910235536742,49.37471322569483,16,18,-2
CHIKKABALLAPURA,48.46,14138,70.99884497564405,44.59863658900547,18,23,-5
CHIKKAMAGALURU,62.24,14100,71.47201946472019,58.2133653815589,2,6,-4
CHITRADURGA,41.32,29415,71.5902453271028,37.25207124698808,23,26,-3
DAVANAGERE,48.81,19779,69.92752342230864,45.32282964203541,17,22,-5
DHARWAD,61.32,25046,77.2238152498998,55.284368158866755,6,10,-4
GADAG,52.91,20840,74.86707860324759,47.69753322845089,15,20,-5
HASSAN,61.43,20228,79.80116774498974,54.494146002531515,4,11,-7
HAVERI,58.81,29072,59.77342352529967,58.869471291690665,9,5,4
KALABURAGI,40.93,29765,42.08554259455638,47.167525066953985,24,21,3
KODAGU,55.23,4283,56.2886055986332,56.50665455023052,13,8,5
KOLAR,53.45,12746,57.551812886621214,54.28543931449643,14,13,1
KOPPAL,42.16,23056,40.039595019363354,49.11213718981956,22,19,3
MANDYA,56.58,17313,71.62123029826667,52.50124876243921,11,16,-5
MYSURU,55.88,28743,67.3311625945794,53.2996910618123,12,14,-2
RAICHUR,44.62,23131,31.795189003436427,54.45175764356041,19,12,7
RAMANAGARA,58.53,10320,66.64944458796177,56.18780271130496,10,9,1
TUMAKURU,62.06,33766,68.71387871387871,58.99673357389147,3,4,-1
VIJAYANAGARA,38.0,23382,54.48317643769224,39.90725798358669,25,24,1
VIJAYAPURA,59.38,44751,58.05183686176837,60.04079007191753,7,3,4
YADGIR,44.04,16879,34.81785552209249,52.81599543156544,20,15,5
