claim,computed,published,diff,status
n_students,1379087,1379087,+0.00,PASS
gp_span_clusters,1718,1718,+0.00,PASS
n_safe_competencies,7,7,+0.00,PASS
coverage_overall,37.8,37.8,+0.00,PASS
enrolled_total,3644154,3644154,+0.00,PASS
coverage_2022-23,25.1,25.1,+0.00,PASS
coverage_2023-24,39.0,39.0,+0.00,PASS
coverage_2024-25,49.9,49.9,+0.00,PASS
denominator_reconciles,True,True,,PASS
top_district_coverage,70.1,70.1,+0.00,PASS
n_districts_zero,2,2,+0.00,PASS
cov_score_corr,-0.47,-0.47,+0.00,PASS
g6_MUL_first,50.9,51.0,-0.10,PASS
g6_MUL_last,35.1,35.1,-0.00,PASS
g6_DIV_first,55.0,55.0,+0.00,PASS
g6_DIV_last,37.6,37.6,-0.00,PASS
g4_mean_first,49.6,49.6,-0.00,PASS
g4_mean_last,57.8,57.8,-0.00,PASS
g5_mean_first,56.1,56.2,-0.10,PASS
g5_mean_last,51.7,51.7,+0.00,PASS
g6_mean_first,62.5,62.5,+0.00,PASS
g6_mean_last,49.3,49.3,-0.00,PASS
panel_g6_MUL_first,50.5,50.5,+0.00,PASS
panel_g6_MUL_last,30.8,30.8,+0.00,PASS
panel_n_gps,2182,2182,+0.00,PASS
panel_g6_DIV_first,54.5,54.5,+0.00,PASS
panel_g6_DIV_last,32.5,32.5,+0.00,PASS
panel_g4_div_change,-0.6,-0.6,+0.00,PASS
raw_g4_div_change,5.6,5.6,-0.00,PASS
girls_mean,54.0,54.0,+0.00,PASS
boys_mean,52.0,52.0,+0.00,PASS
cohens_d,0.071,0.071,+0.00,PASS
gender_gap_mean_abs,2.12,2.12,-0.00,PASS
gender_gap_max_abs,3.02,3.02,-0.00,PASS
pooled_DIV,43.3,43.3,-0.00,PASS
pooled_MUL,48.8,48.8,-0.00,PASS
pooled_ADD,61.0,61.0,+0.00,PASS
pooled_NS,59.6,59.6,-0.00,PASS
lift_ADD_SUB,48,48,+0.00,PASS
lift_MUL_DIV,45,45,+0.00,PASS
n_hypotheses,36,36,+0.00,PASS
n_supported,19,19,+0.00,PASS
n_discarded,14,14,+0.00,PASS
within_gp_pct,78,78,+0.00,PASS
district_pct,7.6,6.7,+0.90,PASS
kk_gap_last,-15.8,-15.8,-0.00,PASS
kk_ptr,33.6,33.6,+0.00,PASS
rest_ptr,20.4,20.4,+0.00,PASS
districts_floor_lagged,12,12,+0.00,PASS
byndoor_residual,31.5,31.5,+0.00,PASS
corr_total_measurement,0.78,0.78,+0.00,PASS
corr_total_division,0.76,0.76,+0.00,PASS
corr_total_multiplication,0.75,0.75,+0.00,PASS
corr_total_place_value,0.56,0.56,+0.00,PASS
corr_total_fractions,0.55,0.55,+0.00,PASS
corr_mult_div,0.57,0.57,+0.00,PASS
