canonical_district,enrolled,assessed,coverage_pct,rank
Chitradurga,124665.0,87338.0,70.1,1
Dharwad,101149.0,66812.0,66.1,2
Bengaluru Rural,44141.0,27631.0,62.6,3
Gadag,84553.0,51411.0,60.8,4
Chikkaballapura,61449.0,36469.0,59.3,5
Kodagu,23544.0,13547.0,57.5,6
Hassan,81781.0,45217.0,55.3,7
Mandya,77437.0,42375.0,54.7,8
Tumakuru,154223.0,84111.0,54.5,9
Chamarajanagara,57648.0,30042.0,52.1,10
Ramanagara,48744.0,24946.0,51.2,11
Kolar,69812.0,34379.0,49.2,12
Chikkamagaluru,60551.0,28894.0,47.7,13
Vijayanagara,130606.0,61409.0,47.0,14
Ballari,103002.0,46061.0,44.7,15
Davanagere,87197.0,38336.0,44.0,16
Kalaburagi,212928.0,91823.0,43.1,17
Bidar,109181.0,42933.0,39.3,18
Bagalkote,160865.0,61144.0,38.0,19
Koppal,172478.0,63307.0,36.7,20
Haveri,149810.0,53991.0,36.0,21
Raichur,217660.0,70124.0,32.2,22
Mysuru,133302.0,41596.0,31.2,23
Yadgir,146602.0,44853.0,30.6,24
Vijayapura,232799.0,69407.0,29.8,25
Belagavi,398094.0,115692.0,29.1,26
Udupi,49623.0,2815.0,5.7,27
Dakshina Kannada,82030.0,1623.0,2.0,28
Uttara Kannada,105160.0,801.0,0.8,29
Bengaluru Urban,62611.0,0.0,0.0,30
Shivamogga,100509.0,0.0,0.0,31
