district,block,cluster,gp,pct_mean_first,pct_floor_first,n_students_first,pct_mean_last,pct_floor_last,n_students_last,change_pp,floor_change_pp,annualised_pp,years,instrument_caveat
Ballari,B0117 sandur,C1185 metriki,5054 rajapura,70.13,45.0,112,19.32,0.0,155,-50.81,-45.0,-25.4,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Raichur,B0096 manvi,C1442 sangapur,5202 sangapur,78.04,49.5,120,27.55,0.0,106,-50.49,-49.5,-25.24,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Bidar,B0007 aurad,C0103 aurad urdu,1186 belkuni(ch),79.72,65.0,53,30.49,10.0,91,-49.23,-55.0,-24.62,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Bidar,B0015 basavakalyan,C0203 belura,6453 belur,78.11,65.0,53,28.88,0.0,94,-49.23,-65.0,-24.62,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Ballari,B0117 sandur,C1185 metriki,4436 metriki,81.2,65.0,251,32.48,10.0,272,-48.72,-55.0,-24.36,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Ballari,B0013 ballari west,C0974 koluru,6155 yerrangaligi,71.22,43.0,127,25.46,0.0,164,-45.76,-43.0,-22.88,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Vijayapura,B0070 indi,C1434 salotagi,5179 salutagi,88.44,80.0,135,43.52,10.0,311,-44.92,-70.0,-22.46,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Vijayanagara,B0084 kudligi,C0812 k.iyana halli,3114 k.ayyenahalli,91.0,80.0,211,46.52,10.0,178,-44.48,-70.0,-22.24,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Kodagu,B0140 virajpet,C1364 polibetta,6507 hosur,83.81,75.0,21,39.44,5.0,27,-44.37,-70.0,-22.18,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Ballari,B0117 sandur,C0259 bomma gatta,6217 yerrayyana halli,69.46,40.0,177,25.21,0.0,216,-44.25,-40.0,-22.12,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Yadgir,B0123 shorapur,C0543 gundalgera,803 arkera (j),74.31,46.5,174,30.21,0.0,219,-44.1,-46.5,-22.05,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
Vijayanagara,B0051 hadagali,C0648 hire hadagali,4118 magala,70.1,45.5,52,26.44,0.0,226,-43.66,-45.5,-21.83,2022-23 -> 2024-25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
