block,district,pct_mean,children_affected,gap_pp,norm_gap,norm_children,tractability,triage_score,priority_band,ptr_govt,pct_sch_library_govt,acad_inspections_per_school_govt,pct_teachers_graduate_plus_govt,mean_instruction_days_govt
B0026 challakere,Chitradurga,37.51,21467,16.77,0.688,0.978,0.357,46.0,1 - act now,21.24,99.48,0.75,59.65,235.13
B0036 chittapur,Kalaburagi,35.16,13761,19.12,0.785,0.625,0.5,44.5,1 - act now,,,,,
B0097 molakalmur,Chitradurga,29.92,10764,24.36,1.0,0.488,0.311,43.7,1 - act now,33.37,99.32,2.26,65.69,233.97
B0128 siruguppa,Ballari,39.48,14014,14.8,0.608,0.637,0.487,34.5,1 - act now,51.78,93.44,0.47,76.71,235.46
B0119 sedam,Kalaburagi,37.86,10516,16.42,0.674,0.477,0.5,33.4,1 - act now,,,,,
B0055 harapanahalli,Vijayanagara,41.31,17073,12.97,0.532,0.777,0.39,31.6,1 - act now,25.78,96.5,1.08,64.36,229.97
B0035 chitradurga,Chitradurga,42.25,18330,12.03,0.494,0.835,0.378,30.4,1 - act now,19.96,100.0,0.89,55.92,231.39
B0002 aland,Kalaburagi,42.87,15677,11.41,0.468,0.713,0.5,28.6,1 - act now,,,,,
B0033 chincholi,Kalaburagi,41.39,12003,12.89,0.529,0.545,0.5,27.9,1 - act now,,,,,
B0084 kudligi,Vijayanagara,42.96,14706,11.32,0.465,0.669,0.502,27.4,1 - act now,29.67,91.38,0.26,62.94,230.51
B0019 bhalki,Bidar,41.71,8904,12.57,0.516,0.403,0.631,25.8,1 - act now,18.98,75.47,0.7,48.68,229.57
B0039 devadurga,Raichur,42.82,14171,11.46,0.47,0.644,0.413,25.5,1 - act now,37.03,94.59,0.77,80.58,226.81
B0071 jagalur,Davanagere,38.57,7288,15.71,0.645,0.329,0.395,25.4,1 - act now,22.09,100.0,1.04,56.76,227.95
B0015 basavakalyan,Bidar,41.96,10510,12.32,0.506,0.477,0.492,24.9,1 - act now,26.52,92.13,0.9,54.78,229.4
B0049 gulbarga south,Kalaburagi,40.49,7377,13.79,0.566,0.333,0.5,24.0,1 - act now,,,,,
B0020 bidar,Bidar,41.43,7859,12.85,0.528,0.355,0.523,23.4,1 - act now,21.67,82.77,0.91,51.45,236.34
B0013 ballari west,Ballari,40.32,6611,13.96,0.573,0.298,0.5,23.4,1 - act now,,,,,
B0044 gangavathi,Koppal,45.01,16483,9.27,0.381,0.75,0.438,22.9,1 - act now,42.54,95.4,0.72,75.97,231.09
B0012 ballari east,Ballari,44.43,12764,9.85,0.404,0.58,0.5,22.0,1 - act now,,,,,
