district,block,n_students,pct_mean,pct_sd,pct_floor,pct_p90,gender_gap_pp
Bagalkote,B0008 badami,14288,61.54,26.76,20.0,95.0,1.82
Bagalkote,B0009 bagalkot,8571,70.88,24.16,35.0,95.0,1.38
Bagalkote,B0021 bilagi,8362,56.57,27.12,15.0,90.0,3.55
Bagalkote,B0069 hunagund,10214,58.7,28.28,15.0,95.0,1.46
Bagalkote,B0072 jamakhandi,11470,55.96,28.25,15.0,90.0,2.43
Bagalkote,B0099 mudhol,8239,49.05,27.53,10.0,85.0,2.49
Ballari,B0012 ballari east,12764,44.43,29.9,5.0,85.0,3.56
Ballari,B0013 ballari west,6611,40.32,27.86,5.0,80.0,2.12
Ballari,B0084 kudligi,103,47.04,29.43,6.0,89.0,0.68
Ballari,B0117 sandur,12569,44.21,29.7,5.0,85.0,1.97
Ballari,B0128 siruguppa,14014,39.48,28.16,5.0,80.0,0.71
Belagavi,B0006 athani,9858,54.51,27.2,15.0,90.0,2.89
Belagavi,B0011 bailhongal,11947,64.68,25.5,25.0,95.0,2.97
Belagavi,B0017 belgaum rural,10733,66.51,22.91,35.0,95.0,3.12
Belagavi,B0032 chikodi,7406,74.64,20.85,45.0,100.0,1.7
Belagavi,B0045 gokak,5908,66.66,24.2,30.0,95.0,1.18
Belagavi,B0067 hukkeri,11227,70.29,23.21,35.0,95.0,1.05
Belagavi,B0075 kagwad,2216,54.65,27.55,15.0,90.0,6.56
Belagavi,B0078 khanapur,5431,63.55,24.52,25.0,95.0,2.92
Belagavi,B0098 mudalgi,11571,50.22,27.58,10.0,85.0,1.03
Belagavi,B0108 nippani,3645,62.56,26.66,20.0,95.0,-1.51
Belagavi,B0110 raibag,7231,56.31,27.74,15.0,90.0,1.17
Belagavi,B0113 ramdurg,11485,63.38,26.31,25.0,95.0,1.21
Belagavi,B0130 soundatti,12207,69.8,23.14,35.0,95.0,2.11
Belagavi,B0153 kittur,4827,63.57,24.36,30.0,95.0,2.51
Bengaluru Rural,B0040 devanahalli,5936,81.21,20.45,55.0,100.0,1.71
Bengaluru Rural,B0042 doddaballapura,7502,55.31,26.63,15.0,90.0,0.74
Bengaluru Rural,B0064 hosakote,7887,53.72,27.6,15.0,90.0,3.38
Bengaluru Rural,B0107 nelamangala,6306,60.41,24.87,25.0,90.0,2.8
Bidar,B0007 aurad,5870,56.44,28.14,15.0,90.0,-0.41
Bidar,B0015 basavakalyan,10510,41.96,28.71,5.0,85.0,0.51
Bidar,B0019 bhalki,8904,41.71,28.42,5.0,85.0,1.68
Bidar,B0020 bidar,7859,41.43,28.37,5.0,85.0,1.36
Bidar,B0068 humnabad,9790,49.03,30.02,5.0,90.0,2.31
Chamarajanagara,B0027 chamarajanagar,7670,52.74,27.28,15.0,90.0,6.09
Chamarajanagara,B0050 gundlupet,9274,50.02,27.94,10.0,85.0,7.47
Chamarajanagara,B0054 hanur,5741,49.66,28.1,10.0,90.0,4.94
Chamarajanagara,B0080 kollegala,4914,51.08,27.4,10.0,90.0,5.47
Chamarajanagara,B0142 yelandur,2577,48.3,26.55,10.0,85.0,6.67
Chikkaballapura,B0010 bagepally,6830,42.52,27.18,5.0,80.0,1.19
Chikkaballapura,B0030 chikkaballapur,7277,52.1,27.09,15.0,90.0,4.57
Chikkaballapura,B0034 chintamani,8631,52.68,28.73,10.0,90.0,3.94
Chikkaballapura,B0047 gudibanda,2550,46.45,27.03,10.0,85.0,1.7
Chikkaballapura,B0124 sidlaghatta,7596,49.04,27.35,10.0,85.0,2.3
Chikkaballapura,B0167 gowribidanur,3451,45.08,27.6,10.0,85.0,2.62
Chikkamagaluru,B0145 biruru,3988,63.19,25.56,25.0,95.0,3.08
Chikkamagaluru,B0147 chikmagalur,6118,56.23,27.66,15.0,90.0,4.29
Chikkamagaluru,B0152 kadur,5777,58.31,27.96,15.0,95.0,2.65
Chikkamagaluru,B0154 koppa,2437,70.51,23.93,35.0,95.0,2.16
