district,block,year,year_n,n_students,pct_mean,pct_sd,pct_floor,pct_p90,gender_gap_pp
Bagalkote,B0008 badami,2022-23,2022,615,69.17,23.55,35.0,95.0,2.28
Bagalkote,B0008 badami,2023-24,2023,5270,60.93,26.28,20.0,90.0,1.26
Bagalkote,B0008 badami,2024-25,2024,8403,61.37,27.2,20.0,95.0,2.12
Bagalkote,B0009 bagalkot,2022-23,2022,332,75.83,21.87,40.0,100.0,-1.94
Bagalkote,B0009 bagalkot,2023-24,2023,3017,71.16,24.46,35.0,95.0,1.22
Bagalkote,B0009 bagalkot,2024-25,2024,5222,70.41,24.09,35.0,95.0,1.64
Bagalkote,B0021 bilagi,2022-23,2022,994,62.56,25.59,20.0,90.0,4.42
Bagalkote,B0021 bilagi,2023-24,2023,3197,54.82,27.56,15.0,90.0,2.21
Bagalkote,B0021 bilagi,2024-25,2024,4171,56.49,26.94,15.0,90.0,4.04
Bagalkote,B0069 hunagund,2022-23,2022,577,69.1,21.49,35.0,90.0,2.66
Bagalkote,B0069 hunagund,2023-24,2023,4166,55.87,28.59,10.0,90.0,0.29
Bagalkote,B0069 hunagund,2024-25,2024,5471,59.77,28.35,15.0,95.0,2.49
Bagalkote,B0072 jamakhandi,2022-23,2022,586,73.91,20.78,45.0,95.0,-1.39
Bagalkote,B0072 jamakhandi,2023-24,2023,4141,51.01,28.14,10.0,90.0,3.41
Bagalkote,B0072 jamakhandi,2024-25,2024,6743,57.44,28.08,15.0,95.0,2.07
Bagalkote,B0099 mudhol,2022-23,2022,645,58.45,25.56,25.0,90.0,0.76
Bagalkote,B0099 mudhol,2023-24,2023,2928,48.21,27.24,10.0,85.0,1.81
Bagalkote,B0099 mudhol,2024-25,2024,4666,48.28,27.74,10.0,85.0,3.29
Ballari,B0012 ballari east,2022-23,2022,3980,46.17,29.62,5.0,85.0,3.03
Ballari,B0012 ballari east,2023-24,2023,3757,47.38,30.27,5.0,85.0,3.26
Ballari,B0012 ballari east,2024-25,2024,5027,40.86,29.48,5.0,85.0,4.03
Ballari,B0013 ballari west,2022-23,2022,2013,47.32,27.99,10.0,85.0,3.24
Ballari,B0013 ballari west,2023-24,2023,1756,42.94,27.79,5.0,80.0,2.56
Ballari,B0013 ballari west,2024-25,2024,2842,33.73,26.31,0.0,75.0,0.96
Ballari,B0084 kudligi,2023-24,2023,103,47.04,29.43,6.0,89.0,0.68
Ballari,B0117 sandur,2022-23,2022,3812,54.69,28.84,10.0,90.0,0.92
Ballari,B0117 sandur,2023-24,2023,3822,48.15,30.02,10.0,90.0,1.67
Ballari,B0117 sandur,2024-25,2024,4935,33.07,26.2,0.0,75.0,2.49
Ballari,B0128 siruguppa,2022-23,2022,4317,46.77,28.53,10.0,85.0,0.24
Ballari,B0128 siruguppa,2023-24,2023,3722,35.09,26.77,5.0,75.0,0.3
Ballari,B0128 siruguppa,2024-25,2024,5975,36.95,27.72,0.0,80.0,1.31
Belagavi,B0006 athani,2022-23,2022,298,63.14,25.84,25.0,95.0,10.53
Belagavi,B0006 athani,2023-24,2023,3116,56.36,26.47,20.0,90.0,2.2
Belagavi,B0006 athani,2024-25,2024,6444,53.22,27.49,15.0,90.0,2.83
Belagavi,B0011 bailhongal,2022-23,2022,1496,74.79,19.67,50.0,95.0,0.06
Belagavi,B0011 bailhongal,2023-24,2023,4087,67.15,24.08,30.0,95.0,2.55
Belagavi,B0011 bailhongal,2024-25,2024,6364,60.71,26.71,20.0,95.0,3.39
Belagavi,B0017 belgaum rural,2022-23,2022,791,77.4,18.18,55.0,100.0,3.79
Belagavi,B0017 belgaum rural,2023-24,2023,3435,64.06,24.1,30.0,90.0,3.26
Belagavi,B0017 belgaum rural,2024-25,2024,6507,66.48,22.39,35.0,95.0,3.07
Belagavi,B0032 chikodi,2022-23,2022,241,79.71,19.77,50.0,100.0,-1.09
Belagavi,B0032 chikodi,2023-24,2023,2936,77.2,17.96,50.0,100.0,0.49
Belagavi,B0032 chikodi,2024-25,2024,4229,72.57,22.48,40.0,100.0,2.42
Belagavi,B0045 gokak,2022-23,2022,302,75.07,19.07,45.0,95.0,2.45
Belagavi,B0045 gokak,2023-24,2023,2518,68.61,22.2,35.0,95.0,1.66
Belagavi,B0045 gokak,2024-25,2024,3088,64.25,25.83,25.0,95.0,0.77
Belagavi,B0067 hukkeri,2022-23,2022,300,73.58,18.51,50.0,95.0,0.23
Belagavi,B0067 hukkeri,2023-24,2023,3368,73.21,22.44,45.0,95.0,0.23
Belagavi,B0067 hukkeri,2024-25,2024,7559,68.86,23.57,35.0,95.0,1.43
Belagavi,B0075 kagwad,2022-23,2022,205,54.32,27.63,15.0,90.0,14.95
Belagavi,B0075 kagwad,2023-24,2023,913,58.35,26.13,20.0,90.0,4.52
Belagavi,B0075 kagwad,2024-25,2024,1098,51.65,28.33,10.0,90.0,6.34
Belagavi,B0078 khanapur,2022-23,2022,781,70.5,24.02,35.0,95.0,4.87
Belagavi,B0078 khanapur,2023-24,2023,2639,62.45,24.26,25.0,90.0,2.09
Belagavi,B0078 khanapur,2024-25,2024,2011,62.29,24.61,25.0,90.0,3.24
Belagavi,B0098 mudalgi,2022-23,2022,293,71.21,20.05,45.0,95.0,5.27
Belagavi,B0098 mudalgi,2023-24,2023,3406,56.64,25.95,20.0,90.0,2.44
Belagavi,B0098 mudalgi,2024-25,2024,7872,46.66,27.66,10.0,85.0,0.13
Belagavi,B0108 nippani,2022-23,2022,256,49.49,29.95,5.0,85.0,-4.01
Belagavi,B0108 nippani,2023-24,2023,1375,58.79,27.23,15.0,90.0,-2.46
Belagavi,B0108 nippani,2024-25,2024,2014,66.79,24.85,30.0,95.0,-0.33
Belagavi,B0110 raibag,2022-23,2022,294,74.34,22.79,40.0,100.0,-2.31
Belagavi,B0110 raibag,2023-24,2023,3446,55.94,27.67,15.0,90.0,1.97
Belagavi,B0110 raibag,2024-25,2024,3491,55.15,27.68,15.0,90.0,0.89
Belagavi,B0113 ramdurg,2022-23,2022,722,78.41,17.88,55.0,100.0,3.43
Belagavi,B0113 ramdurg,2023-24,2023,3747,64.53,24.38,30.0,95.0,1.05
Belagavi,B0113 ramdurg,2024-25,2024,7016,61.22,27.47,20.0,95.0,1.0
Belagavi,B0130 soundatti,2022-23,2022,690,70.57,19.78,45.0,95.0,2.63
Belagavi,B0130 soundatti,2023-24,2023,5166,71.3,22.36,40.0,95.0,2.85
Belagavi,B0130 soundatti,2024-25,2024,6351,68.5,24.02,35.0,95.0,1.41
Belagavi,B0153 kittur,2023-24,2023,2249,65.36,23.79,30.0,95.0,3.28
Belagavi,B0153 kittur,2024-25,2024,2578,62.0,24.74,25.0,90.0,1.64
Bengaluru Rural,B0040 devanahalli,2022-23,2022,2056,82.68,20.65,57.5,100.0,2.13
Bengaluru Rural,B0040 devanahalli,2023-24,2023,1657,78.9,20.88,50.0,100.0,1.18
Bengaluru Rural,B0040 devanahalli,2024-25,2024,2223,81.57,19.79,55.0,100.0,1.84
Bengaluru Rural,B0042 doddaballapura,2022-23,2022,2818,60.75,26.73,20.0,90.0,0.54
Bengaluru Rural,B0042 doddaballapura,2023-24,2023,2525,49.21,25.68,15.0,85.0,0.19
Bengaluru Rural,B0042 doddaballapura,2024-25,2024,2159,55.34,26.04,20.0,90.0,1.42
Bengaluru Rural,B0064 hosakote,2022-23,2022,2589,60.7,27.24,20.0,95.0,3.06
Bengaluru Rural,B0064 hosakote,2023-24,2023,2786,47.05,26.34,10.0,85.0,2.41
Bengaluru Rural,B0064 hosakote,2024-25,2024,2512,53.92,27.52,15.0,90.0,5.02
Bengaluru Rural,B0107 nelamangala,2022-23,2022,2148,63.9,24.12,25.0,90.0,4.01
Bengaluru Rural,B0107 nelamangala,2023-24,2023,2231,56.73,24.38,20.0,90.0,0.91
Bengaluru Rural,B0107 nelamangala,2024-25,2024,1927,60.78,25.66,25.0,90.0,3.81
Bidar,B0007 aurad,2022-23,2022,1937,61.6,27.08,20.0,90.0,0.44
Bidar,B0007 aurad,2023-24,2023,1438,50.5,28.89,10.0,90.0,0.49
Bidar,B0007 aurad,2024-25,2024,2495,55.86,27.79,15.0,90.0,-1.25
Bidar,B0015 basavakalyan,2022-23,2022,3706,47.04,29.9,5.0,90.0,-0.41
Bidar,B0015 basavakalyan,2023-24,2023,3341,37.07,27.5,5.0,80.0,0.67
Bidar,B0015 basavakalyan,2024-25,2024,3463,41.25,27.64,5.0,85.0,1.57
Bidar,B0019 bhalki,2022-23,2022,3155,47.35,29.57,5.0,90.0,2.02
Bidar,B0019 bhalki,2023-24,2023,2908,37.02,27.07,5.0,75.0,1.14
Bidar,B0019 bhalki,2024-25,2024,2841,40.24,27.42,5.0,80.0,2.1
Bidar,B0020 bidar,2022-23,2022,2849,47.01,28.67,5.0,85.0,0.72
Bidar,B0020 bidar,2023-24,2023,2283,35.77,26.95,5.0,80.0,1.69
Bidar,B0020 bidar,2024-25,2024,2727,40.34,28.17,5.0,80.0,2.34
Bidar,B0068 humnabad,2022-23,2022,3642,58.96,28.65,15.0,90.0,2.4
Bidar,B0068 humnabad,2023-24,2023,2998,42.53,29.22,5.0,85.0,3.68
