district,block,n_students,pct_mean,pct_sd,pct_floor,pct_p90,gender_gap_pp,n_schools_4_6,n_schools_govt,pct_govt_schools,pct_private_schools,pct_rural_schools,enrolment_all,enrolment_govt,teachers_govt,ptr_govt,pct_female_teachers_govt,pct_teachers_graduate_plus_govt,pct_sch_electricity_govt,pct_sch_library_govt,pct_sch_playground_govt,pct_sch_tapwater_functional_govt,pct_sch_internet_govt,pct_sch_computer_lab_govt,pct_sch_ramps_govt,pct_sch_reading_corner_govt,pct_sch_handwash_meal_govt,pct_sch_kannada_medium_govt,pct_sch_preprimary_govt,girls_func_toilets_per_school_govt,good_classrooms_per_school_govt,acad_inspections_per_school_govt,crc_coordinators_per_school_govt,smc_meetings_per_school_govt,mean_instruction_days_govt,avg_govt_school_size,census_literacy_rate_7plus,census_male_female_literacy_gap_pp,census_sex_ratio,census_sc_pct,census_st_pct,census_work_participation_rate,census_agri_labour_share_of_workers,census_marginal_worker_share,census_total_population_person,census_rural_share_pct
Bagalkote,B0008 badami,14288,61.54,26.76,20.0,95.0,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.69,20.79,980.0,15.19,10.78,48.72,60.78,22.38,246804.0,100.0
Bagalkote,B0009 bagalkot,8571,70.88,24.16,35.0,95.0,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.36,18.89,994.2,20.56,8.08,45.42,54.1,23.19,173181.0,100.0
Bagalkote,B0021 bilagi,8362,56.57,27.12,15.0,90.0,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.59,17.57,997.4,19.37,10.99,48.13,64.2,21.36,142502.0,100.0
Bagalkote,B0069 hunagund,10214,58.7,28.28,15.0,95.0,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.02,20.85,986.7,18.98,4.14,45.61,46.1,24.04,240219.0,82.24
Bagalkote,B0072 jamakhandi,11470,55.96,28.25,15.0,90.0,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3,15.52,973.7,17.46,1.58,42.03,70.64,14.15,298146.0,100.0
Bagalkote,B0099 mudhol,8239,49.05,27.53,10.0,85.0,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.34,15.56,999.3,19.4,5.14,47.56,77.29,8.96,233716.0,100.0
Ballari,B0012 ballari east,12764,44.43,29.9,5.0,85.0,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballari,B0013 ballari west,6611,40.32,27.86,5.0,80.0,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballari,B0084 kudligi,103,47.04,29.43,6.0,89.0,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.82,17.15,956.9,23.32,29.43,52.06,67.21,20.65,255932.0,100.0
Ballari,B0117 sandur,12569,44.21,29.7,5.0,85.0,1.97,219.0,169.0,77.17,22.83,83.56,51439.0,29448.0,658.0,44.75,43.62,78.88,94.08,96.45,37.87,95.27,36.69,19.53,87.57,85.8,86.98,87.57,25.16,1.73,5.62,1.04,4.37,2.9,220.56,174.2,64.89,19.57,939.1,18.23,27.91,43.34,39.99,16.2,222782.0,81.29
Ballari,B0128 siruguppa,14014,39.48,28.16,5.0,80.0,0.71,251.0,183.0,72.91,27.09,76.89,48071.0,31119.0,601.0,51.78,39.6,76.71,95.63,93.44,55.74,93.99,28.96,10.93,90.16,80.33,73.22,89.07,26.29,1.7,4.17,0.47,2.48,2.37,235.46,170.0,50.0,22.67,1005.2,22.71,20.06,55.42,81.85,7.57,190388.0,100.0
Belagavi,B0006 athani,9858,54.51,27.2,15.0,90.0,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.1,15.07,954.7,15.44,3.11,47.25,67.33,19.67,479974.0,99.59
Belagavi,B0011 bailhongal,11947,64.68,25.5,25.0,95.0,2.97,198.0,160.0,80.81,19.19,84.34,36346.0,23522.0,911.0,25.82,48.63,58.4,98.75,100.0,61.25,87.5,15.62,13.75,95.0,93.75,76.88,81.88,1.97,1.58,5.49,1.51,5.43,4.28,236.14,147.0,,,,,,,,,,
Belagavi,B0017 belgaum rural,10733,66.51,22.91,35.0,95.0,3.12,354.0,297.0,83.9,16.1,90.11,59720.0,41199.0,1505.0,27.37,63.26,52.96,99.66,100.0,79.8,86.53,64.65,14.14,92.59,94.95,84.85,55.22,5.82,1.74,5.32,1.42,11.64,6.22,233.54,138.7,76.53,13.39,953.7,7.08,10.58,42.12,38.65,18.51,449805.0,69.7
Belagavi,B0032 chikodi,7406,74.64,20.85,45.0,100.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.97,14.62,958.6,15.75,1.14,51.99,58.75,21.76,503838.0,100.0
Belagavi,B0045 gokak,5908,66.66,24.2,30.0,95.0,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.37,17.36,988.3,10.76,10.11,47.16,66.4,16.99,476448.0,100.0
Belagavi,B0067 hukkeri,11227,70.29,23.21,35.0,95.0,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.81,14.39,991.4,14.35,13.63,48.67,60.37,22.55,341645.0,100.0
Belagavi,B0075 kagwad,2216,54.65,27.55,15.0,90.0,6.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belagavi,B0078 khanapur,5431,63.55,24.52,25.0,95.0,2.92,348.0,322.0,92.53,7.47,95.4,31685.0,23615.0,1154.0,20.46,44.54,59.27,99.69,100.0,47.52,89.13,12.11,8.07,78.88,98.45,89.13,29.19,2.22,1.21,3.07,1.26,7.7,6.45,233.53,73.3,74.53,14.01,975.7,7.7,4.62,46.91,57.63,20.95,238780.0,93.8
Belagavi,B0098 mudalgi,11571,50.22,27.58,10.0,85.0,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belagavi,B0108 nippani,3645,62.56,26.66,20.0,95.0,-1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belagavi,B0110 raibag,7231,56.31,27.74,15.0,90.0,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.67,15.62,957.1,18.79,2.07,41.61,73.85,14.39,363599.0,100.0
Belagavi,B0113 ramdurg,11485,63.38,26.31,25.0,95.0,1.21,266.0,210.0,78.95,21.05,86.47,38575.0,28355.0,864.0,32.82,38.89,63.77,99.05,100.0,50.95,95.24,34.76,10.48,90.48,84.29,77.62,89.05,7.96,1.38,5.18,1.65,7.22,3.19,215.25,135.0,64.05,19.72,970.2,16.0,3.73,49.2,61.63,18.59,225189.0,99.35
Belagavi,B0130 soundatti,12207,69.8,23.14,35.0,95.0,2.11,298.0,238.0,79.87,20.13,87.25,48442.0,39180.0,1224.0,32.01,45.02,64.13,98.32,100.0,62.61,93.7,14.29,12.18,91.6,91.18,86.97,90.76,6.09,1.49,4.92,1.68,9.73,4.86,236.5,164.6,,,,,,,,,,
Belagavi,B0153 kittur,4827,63.57,24.36,30.0,95.0,2.51,109.0,83.0,76.15,23.85,89.91,16916.0,12205.0,451.0,27.06,43.24,57.21,100.0,100.0,73.49,96.39,14.46,8.43,79.52,84.34,79.52,83.13,3.8,1.48,5.41,1.46,8.27,3.92,241.34,147.0,,,,,,,,,,
Bengaluru Rural,B0040 devanahalli,5936,81.21,20.45,55.0,100.0,1.71,281.0,212.0,75.44,24.56,81.14,33320.0,9980.0,546.0,18.28,58.97,54.95,99.53,100.0,56.6,95.28,18.4,6.6,70.75,95.75,84.91,92.45,12.14,1.71,3.68,0.99,5.27,4.28,233.65,47.1,75.02,14.36,935.5,27.06,11.9,50.81,55.81,17.4,146705.0,100.0
Bengaluru Rural,B0042 doddaballapura,7502,55.31,26.63,15.0,90.0,0.74,394.0,334.0,84.77,15.23,80.46,36948.0,14204.0,854.0,16.63,45.67,56.21,100.0,100.0,79.94,96.41,93.11,8.68,82.34,97.6,86.23,94.31,10.06,1.7,3.04,0.87,11.08,6.79,235.2,42.5,75.18,14.14,948.4,24.21,5.8,51.97,46.88,19.6,214952.0,92.37
Bengaluru Rural,B0064 hosakote,7887,53.72,27.6,15.0,90.0,3.38,346.0,248.0,71.68,28.32,87.86,47416.0,12839.0,592.0,21.69,64.36,58.95,100.0,100.0,52.02,93.55,13.31,7.26,86.29,97.98,76.21,89.52,7.35,1.81,3.31,0.47,15.26,2.51,227.11,51.8,75.79,13.86,925.8,24.32,3.79,45.71,46.85,13.13,213838.0,100.0
