district,block,cluster,n_students,pct_mean,pct_sd,pct_floor,pct_p90,gender_gap_pp
Bagalkote,B0008 badami,C0204 beluru,796,45.35,28.65,10.0,85.0,3.2
Bagalkote,B0008 badami,C0568 halakurki,1425,67.0,25.97,25.0,95.0,2.19
Bagalkote,B0008 badami,C0578 haligeri,435,57.49,24.16,25.0,90.0,2.67
Bagalkote,B0008 badami,C0600 hansanur,598,47.84,25.63,15.0,80.0,1.09
Bagalkote,B0008 badami,C0634 hebballi,974,61.94,25.21,25.0,90.0,5.86
Bagalkote,B0008 badami,C0708 housur,236,48.96,30.32,5.0,90.0,6.2
Bagalkote,B0008 badami,C0911 katageri,1033,56.76,26.26,20.0,90.0,3.65
Bagalkote,B0008 badami,C1960 cholachagudda,833,71.45,24.19,35.0,95.0,3.7
Bagalkote,B0008 badami,C2189 inam hullikeri,491,53.08,27.65,15.0,90.0,3.75
Bagalkote,B0008 badami,C2228 kagalgomba,754,66.31,24.45,30.0,95.0,-0.63
Bagalkote,B0008 badami,C2335 kulageri cross,634,54.47,32.57,10.0,95.0,-2.83
Bagalkote,B0008 badami,C2358 layadagundi,1136,80.8,14.72,60.0,100.0,0.33
Bagalkote,B0008 badami,C2460 muttalageri,1041,75.63,15.43,55.0,95.0,3.31
Bagalkote,B0008 badami,C2487 nandikeswara,917,59.44,24.68,20.0,85.0,3.22
Bagalkote,B0008 badami,C2495 narenur,409,48.11,25.59,10.0,85.0,-1.33
Bagalkote,B0008 badami,C2500 neelagund,751,59.71,27.87,20.0,95.0,-1.66
Bagalkote,B0008 badami,C2501 neerabudhihal,915,61.31,22.46,30.0,90.0,-1.03
Bagalkote,B0008 badami,C2851 housur,286,34.93,26.62,5.0,75.0,10.3
Bagalkote,B0008 badami,C2878 kotikal,624,60.71,24.41,25.0,90.0,2.71
Bagalkote,B0009 bagalkot,C0215 bevoor,758,75.63,18.01,50.0,95.0,1.39
Bagalkote,B0009 bagalkot,C0217 bhagavati,1204,78.19,20.36,45.0,100.0,2.94
Bagalkote,B0009 bagalkot,C0578 haligeri,455,69.19,27.54,25.0,100.0,5.67
Bagalkote,B0009 bagalkot,C0826 kadampur,246,73.76,18.97,50.0,95.0,1.82
Bagalkote,B0009 bagalkot,C1219 mugalolli,657,76.89,19.95,50.0,100.0,1.48
Bagalkote,B0009 bagalkot,C1516 sitimani r s,566,82.83,17.58,60.0,100.0,1.46
Bagalkote,B0009 bagalkot,C1875 bennur,869,65.7,26.43,25.0,95.0,2.11
Bagalkote,B0009 bagalkot,C2019 gaddanakeri,727,65.17,23.19,35.0,90.0,3.74
Bagalkote,B0009 bagalkot,C2050 gulabal,270,87.43,11.31,75.0,100.0,0.57
Bagalkote,B0009 bagalkot,C2234 kaladagi,758,53.72,25.32,20.0,85.0,-0.66
Bagalkote,B0009 bagalkot,C2479 nainegali,101,88.42,14.23,75.0,100.0,1.69
Bagalkote,B0009 bagalkot,C2612 shirur,265,83.91,11.3,70.0,100.0,-1.2
Bagalkote,B0009 bagalkot,C2655 sutagundar,279,69.96,22.4,40.0,95.0,0.36
Bagalkote,B0009 bagalkot,C2695 tulasigeri,788,58.61,28.63,15.0,90.0,0.51
Bagalkote,B0009 bagalkot,C2752 yadahalli-(bgk),323,62.03,21.36,31.0,85.0,1.46
Bagalkote,B0009 bagalkot,C2903 nainegali,305,76.52,20.35,45.0,100.0,-1.57
Bagalkote,B0021 bilagi,C0884 kandagal,1248,59.67,26.49,20.0,90.0,4.4
Bagalkote,B0021 bilagi,C1031 kundargi,905,54.53,25.89,15.0,88.0,3.38
Bagalkote,B0021 bilagi,C1501 siddapur,1465,54.02,27.21,15.0,90.0,2.55
Bagalkote,B0021 bilagi,C1543 sunag,758,50.34,27.28,15.0,85.0,6.27
Bagalkote,B0021 bilagi,C1711 yadahalli,589,54.8,29.3,10.0,90.0,2.66
Bagalkote,B0021 bilagi,C1786 anagwadi,959,73.52,20.18,45.0,95.0,3.25
Bagalkote,B0021 bilagi,C2023 galagali,591,58.91,27.16,20.0,95.0,2.19
Bagalkote,B0021 bilagi,C2276 kataraki,732,52.98,25.74,15.0,85.0,6.19
Bagalkote,B0021 bilagi,C2409 manniker,507,46.34,25.17,13.0,80.0,4.7
Bagalkote,B0021 bilagi,C2668 teggi,608,52.75,28.1,15.0,90.0,-0.85
Bagalkote,B0069 hunagund,C0317 chicknal,411,58.72,25.33,20.0,90.0,-3.28
Bagalkote,B0069 hunagund,C0644 heremagi,1089,50.91,26.86,10.0,85.0,0.96
Bagalkote,B0069 hunagund,C0734 hungund,867,49.42,25.88,10.0,85.0,-2.13
Bagalkote,B0069 hunagund,C0743 ilkal middle,809,74.89,21.52,45.0,100.0,1.88
Bagalkote,B0069 hunagund,C0744 ilkal west,445,76.56,17.15,55.0,95.0,4.23
Bagalkote,B0069 hunagund,C1008 kudal sangam,107,54.63,26.58,15.0,85.0,16.19
Bagalkote,B0069 hunagund,C1264 nagur,363,77.33,17.4,55.0,95.0,5.75
Bagalkote,B0069 hunagund,C1769 aihole,669,71.08,21.68,40.0,95.0,4.44
Bagalkote,B0069 hunagund,C1897 bingawadagi,652,49.09,29.57,10.0,90.0,2.05
Bagalkote,B0069 hunagund,C1907 budihal s k,270,43.7,25.63,5.0,80.0,4.02
Bagalkote,B0069 hunagund,C1989 dhannur,628,46.11,29.65,5.0,85.0,-0.23
Bagalkote,B0069 hunagund,C2049 gudur,687,68.9,23.98,35.0,100.0,4.47
Bagalkote,B0069 hunagund,C2138 hiresingangutti,403,53.52,27.11,15.0,90.0,4.22
Bagalkote,B0069 hunagund,C2254 kandgall,628,67.33,24.64,30.0,95.0,0.42
Bagalkote,B0069 hunagund,C2264 karadi,178,37.67,26.95,5.0,80.0,-4.01
Bagalkote,B0069 hunagund,C2447 muganur,412,43.08,27.42,10.0,80.0,4.28
Bagalkote,B0069 hunagund,C2484 nandawadagi,492,77.01,19.99,50.0,100.0,-7.9
Bagalkote,B0069 hunagund,C2647 sulibhavi,693,47.81,31.26,5.0,90.0,-0.38
Bagalkote,B0069 hunagund,C2696 tumb,241,66.97,22.93,35.0,90.0,4.68
Bagalkote,B0069 hunagund,C2854 ilkal (urdu crc),170,32.24,24.05,5.0,65.0,4.12
Bagalkote,B0072 jamakhandi,C0729 hulyal,751,67.8,23.68,30.0,95.0,2.05
Bagalkote,B0072 jamakhandi,C0735 hunnur,948,67.15,23.54,30.0,95.0,3.52
Bagalkote,B0072 jamakhandi,C0779 jamakhandi west,221,50.84,29.97,5.0,90.0,10.2
Bagalkote,B0072 jamakhandi,C0985 konnur,391,43.35,25.57,10.0,80.0,0.36
Bagalkote,B0072 jamakhandi,C1027 kunchanur,1064,44.22,29.35,5.0,85.0,0.83
Bagalkote,B0072 jamakhandi,C1845 banahatti east,532,54.03,28.44,15.0,90.0,-1.26
Bagalkote,B0072 jamakhandi,C1846 banahatti west,603,68.22,30.91,20.0,100.0,-0.83
Bagalkote,B0072 jamakhandi,C1891 bidari,262,48.74,25.57,15.0,80.0,4.71
Bagalkote,B0072 jamakhandi,C1950 chimmad,653,66.88,20.57,40.0,90.0,4.23
Bagalkote,B0072 jamakhandi,C2022 gadyal,361,47.6,26.19,15.0,85.0,-1.15
Bagalkote,B0072 jamakhandi,C2038 golabhavi,453,56.24,27.14,15.0,90.0,5.67
Bagalkote,B0072 jamakhandi,C2122 hipparagi,692,37.01,25.87,5.0,75.0,9.44
Bagalkote,B0072 jamakhandi,C2136 hirepadasalagi,658,47.07,28.93,10.0,90.0,2.34
Bagalkote,B0072 jamakhandi,C2386 maigur,718,67.86,24.41,30.0,95.0,1.52
Bagalkote,B0072 jamakhandi,C2553 rampur,455,42.97,27.05,10.0,80.0,0.92
Bagalkote,B0072 jamakhandi,C2593 savalagi,564,53.63,28.88,15.0,95.0,6.99
