district,block,cluster,year,year_n,n_students,pct_mean,pct_sd,pct_floor,pct_p90,gender_gap_pp
Bagalkote,B0008 badami,C0204 beluru,2022-23,2022,94,66.33,25.98,24.5,95.0,8.35
Bagalkote,B0008 badami,C0204 beluru,2023-24,2023,327,40.12,26.27,5.0,80.0,2.01
Bagalkote,B0008 badami,C0204 beluru,2024-25,2024,375,44.65,28.98,5.0,85.0,0.68
Bagalkote,B0008 badami,C0568 halakurki,2022-23,2022,118,79.53,15.54,60.0,95.0,1.27
Bagalkote,B0008 badami,C0568 halakurki,2023-24,2023,494,68.31,25.11,25.0,95.0,0.09
Bagalkote,B0008 badami,C0568 halakurki,2024-25,2024,813,64.39,27.1,20.0,95.0,3.43
Bagalkote,B0008 badami,C0578 haligeri,2022-23,2022,96,65.52,23.57,32.5,95.0,3.17
Bagalkote,B0008 badami,C0578 haligeri,2023-24,2023,124,54.76,24.22,16.5,85.0,4.18
Bagalkote,B0008 badami,C0578 haligeri,2024-25,2024,215,55.49,23.72,25.0,85.0,2.46
Bagalkote,B0008 badami,C0600 hansanur,2022-23,2022,90,59.67,26.92,20.0,90.0,-1.08
Bagalkote,B0008 badami,C0600 hansanur,2023-24,2023,299,41.24,24.72,10.0,80.0,-0.46
Bagalkote,B0008 badami,C0600 hansanur,2024-25,2024,209,52.2,23.6,20.0,85.0,4.52
Bagalkote,B0008 badami,C0634 hebballi,2023-24,2023,461,62.16,26.31,25.0,95.0,2.66
Bagalkote,B0008 badami,C0634 hebballi,2024-25,2024,513,61.73,24.21,30.0,90.0,8.76
Bagalkote,B0008 badami,C0708 housur,2022-23,2022,92,69.02,27.15,25.0,95.0,-0.05
Bagalkote,B0008 badami,C0708 housur,2023-24,2023,144,36.15,24.85,5.0,73.5,7.6
Bagalkote,B0008 badami,C0911 katageri,2022-23,2022,125,71.28,18.38,50.0,95.0,1.26
Bagalkote,B0008 badami,C0911 katageri,2023-24,2023,433,56.62,25.79,20.0,90.0,3.3
Bagalkote,B0008 badami,C0911 katageri,2024-25,2024,475,53.07,27.16,15.0,90.0,4.67
Bagalkote,B0008 badami,C1960 cholachagudda,2023-24,2023,275,75.22,15.06,55.0,90.0,-2.71
Bagalkote,B0008 badami,C1960 cholachagudda,2024-25,2024,558,69.6,27.42,25.0,95.0,6.45
Bagalkote,B0008 badami,C2189 inam hullikeri,2023-24,2023,267,66.01,23.45,30.0,95.0,7.49
Bagalkote,B0008 badami,C2189 inam hullikeri,2024-25,2024,224,37.66,24.19,6.5,70.0,-5.06
Bagalkote,B0008 badami,C2228 kagalgomba,2023-24,2023,393,58.26,22.81,25.0,85.0,-2.61
Bagalkote,B0008 badami,C2228 kagalgomba,2024-25,2024,361,75.07,23.15,40.0,100.0,0.46
Bagalkote,B0008 badami,C2335 kulageri cross,2024-25,2024,634,54.47,32.57,10.0,95.0,-2.83
