district,n_students,pct_mean,pct_sd,pct_floor,pct_p90,gender_gap_pp
Bagalkote,61144,58.97,27.79,15.0,95.0,1.87
Ballari,46061,42.28,29.13,5.0,85.0,2.06
Belagavi,115692,63.35,25.99,25.0,95.0,1.79
Bengaluru Rural,27631,61.58,27.43,20.0,95.0,1.88
Bidar,42933,45.4,29.3,5.0,85.0,1.16
Chamarajanagara,30176,50.67,27.63,10.0,90.0,6.26
Chikkaballapura,36335,48.73,27.87,10.0,85.0,2.92
Chikkamagaluru,28894,60.08,26.65,20.0,95.0,3.17
Chitradurga,87338,42.41,29.06,5.0,85.0,3.41
Dakshina Kannada,1623,72.92,22.31,40.0,95.0,4.8
Davanagere,38336,49.29,28.66,10.0,90.0,4.63
Dharwad,66812,62.92,26.35,25.0,95.0,2.87
Gadag,51411,52.62,27.62,15.0,90.0,2.63
Hassan,45217,59.61,26.68,20.0,95.0,3.57
Haveri,53991,58.46,26.54,20.0,90.0,4.06
Kalaburagi,91647,42.01,28.2,5.0,85.0,0.58
Kodagu,13547,54.39,26.84,15.0,90.0,3.42
Kolar,34379,52.04,27.65,15.0,90.0,2.19
Koppal,63307,47.4,27.44,10.0,85.0,0.78
Mandya,42375,56.56,26.98,15.0,90.0,3.85
Mysuru,41596,55.58,27.63,15.0,90.0,4.46
Raichur,70124,46.57,27.73,10.0,85.0,0.15
Ramanagara,24946,59.21,27.81,15.0,95.0,4.6
Tumakuru,84111,62.87,26.61,25.0,95.0,3.03
Udupi,2815,74.27,23.28,40.0,100.0,3.8
Uttara Kannada,801,69.96,26.37,30.0,100.0,7.76
Vijayanagara,61409,43.26,27.96,5.0,80.0,1.45
Vijayapura,69583,57.23,29.05,15.0,95.0,1.38
Yadgir,44853,48.23,28.51,10.0,85.0,-0.87
