district,year,year_n,n_students,pct_mean,pct_sd,pct_floor,pct_p90,gender_gap_pp
Bagalkote,2022-23,2022,3749,66.89,24.31,30.0,95.0,1.76
Bagalkote,2023-24,2023,22719,57.05,28.0,15.0,90.0,1.28
Bagalkote,2024-25,2024,34676,59.37,27.84,15.0,95.0,2.26
Ballari,2022-23,2022,14122,48.82,29.07,10.0,90.0,1.47
Ballari,2023-24,2023,13160,43.53,29.43,5.0,85.0,1.88
Ballari,2024-25,2024,18779,36.49,27.78,0.0,80.0,2.41
Belagavi,2022-23,2022,6669,72.39,22.08,40.0,95.0,2.69
Belagavi,2023-24,2023,42401,65.04,24.96,30.0,95.0,1.86
Belagavi,2024-25,2024,66622,61.37,26.71,20.0,95.0,1.6
Bengaluru Rural,2022-23,2022,9611,66.13,26.58,25.0,95.0,1.99
Bengaluru Rural,2023-24,2023,9199,55.73,27.3,15.0,90.0,1.05
Bengaluru Rural,2024-25,2024,8821,62.73,27.38,20.0,95.0,2.79
Bidar,2022-23,2022,15289,51.78,29.61,10.0,90.0,1.09
Bidar,2023-24,2023,12968,39.58,28.24,5.0,80.0,1.7
Bidar,2024-25,2024,14676,43.9,28.63,5.0,85.0,1.17
Chamarajanagara,2022-23,2022,11675,53.56,27.71,10.0,90.0,7.19
Chamarajanagara,2023-24,2023,7300,47.57,27.53,10.0,85.0,7.02
Chamarajanagara,2024-25,2024,11201,49.67,27.33,10.0,85.0,4.91
Chikkaballapura,2022-23,2022,10988,53.56,28.1,10.0,90.0,2.89
Chikkaballapura,2023-24,2023,11209,44.35,26.79,10.0,80.0,3.51
Chikkaballapura,2024-25,2024,14138,48.46,27.93,10.0,85.0,2.48
Chikkamagaluru,2023-24,2023,14794,58.02,26.61,20.0,90.0,3.67
Chikkamagaluru,2024-25,2024,14100,62.24,26.53,25.0,95.0,2.57
Chitradurga,2022-23,2022,29621,45.76,29.84,5.0,85.0,3.8
