district,n_students,pct_mean,pct_sd,pct_floor,pct_p90,gender_gap_pp,canonical_district,revenue_division,census2011_name,nfhs5_name,aser2024_name,hh_electricity_pct,hh_improved_sanitation_pct,age5_preprimary_attend_pct,women_literate_pct,women_10plus_schooling_pct,women_married_before18_pct,u5_stunted_pct,u5_wasted_pct,u5_underweight_pct,children_anaemic_pct,women_anaemic_pct,pct_6_14_govt_school,pct_6_14_not_in_school,std3_5_read_std2_pct,std3_5_atleast_subtraction_pct,std6_8_read_std2_pct,std6_8_division_pct,pgid_overall_600,pgid_outcomes_290,pgid_infra_51,pgid_digital_50,pgid_governance_84,pgid_n_edu_districts,prs24_avg_pct_g3,prs24_avg_pct_g6,prs24_avg_pct_g9,prs24_gender_gap_girls_minus_boys_g3,prs24_gender_gap_girls_minus_boys_g6,prs24_gender_gap_girls_minus_boys_g9,prs24_rank_in_state_g3,prs24_rank_in_state_g6,prs24_rank_in_state_g9,prs24_rural_g3,prs24_rural_g6,prs24_rural_g9,prs24_sc_g3,prs24_sc_g6,prs24_sc_g9,prs24_st_g3,prs24_st_g6,prs24_st_g9,prs24_state_govt_g3,prs24_state_govt_g6,prs24_state_govt_g9,prs24_urban_g3,prs24_urban_g6,prs24_urban_g9,ptr_govt,pct_female_teachers_govt,pct_teachers_graduate_plus_govt,pct_sch_library_govt,pct_sch_playground_govt,pct_sch_computer_lab_govt,pct_sch_internet_govt,pct_sch_tapwater_functional_govt,pct_sch_preprimary_govt,girls_func_toilets_per_school_govt,good_classrooms_per_school_govt,acad_inspections_per_school_govt,mean_instruction_days_govt,avg_govt_school_size,pct_private_schools,enrolment_govt,n_schools_govt,total_population_person,literacy_rate_7plus,male_female_literacy_gap_pp,sex_ratio,sc_pct,st_pct,work_participation_rate,agri_labour_share_of_workers,marginal_worker_share
Bagalkote,61144,58.97,27.79,15.0,95.0,1.87,Bagalkote,Belagavi,Bagalkot,Bagalkot,Bagalkot,98.9,51.3,7.1,69.7,37.7,38.7,48.3,16.9,42.3,63.8,48.0,72.8,0.5,20.8,39.3,57.5,46.6,306.0,150.0,25.0,18.0,44.0,1,65,51,34,3,1,-3,4.0,2.0,6.0,66,53,34,67,45,32,75,46,32,71,49,30,64,49,35,28.57,44.66,66.07,97.6,68.66,12.28,37.72,90.81,6.48,1.5,5.16,0.67,230.18,138.3,24.57,201572.0,1458.0,1889752.0,68.82,18.18,989.0,18.26,6.21,45.97,62.69,18.55
Ballari,46061,42.28,29.13,5.0,85.0,2.06,Ballari,Kalaburagi,Bellary,Bellary,Bellary,98.9,64.1,28.0,64.4,39.9,22.2,36.1,22.9,36.5,67.5,58.1,70.6,0.7,16.9,22.4,35.9,19.1,279.0,124.0,24.0,19.0,43.0,1,56,34,30,4,1,1,19.0,31.0,24.0,58,30,29,61,32,28,56,34,29,64,26,28,55,39,31,40.98,51.92,75.49,96.8,45.82,13.65,23.4,93.04,23.61,1.72,5.37,0.97,229.79,182.6,36.12,131098.0,718.0,2452595.0,67.43,18.26,983.0,23.56,21.61,50.35,66.13,14.56
Belagavi,115692,63.35,25.99,25.0,95.0,1.79,Belagavi,Belagavi,Belgaum,Belgaum,Belgaum,99.1,67.7,21.6,74.0,47.8,32.8,32.8,23.6,36.9,72.7,52.9,76.4,0.1,19.1,29.4,36.8,24.8,313.0,149.5,27.5,18.0,44.5,2,60,51,34,3,3,2,13.0,2.0,6.0,66,54,32,60,46,32,51,46,29,62,49,33,53,47,36,29.39,47.785,63.365,99.925,76.61,10.14,58.945,84.72,6.84,1.59,4.89,1.43,232.53,133.55,20.485,232443.5,1742.0,4779661.0,73.48,15.36,973.0,12.42,6.98,46.61,61.14,19.19
Bengaluru Rural,27631,61.58,27.43,20.0,95.0,1.88,Bengaluru Rural,Bengaluru,Bangalore Rural,Bangalore Rural,Bengaluru Rural,99.2,88.8,16.4,83.8,56.3,14.1,36.6,16.2,23.8,60.8,44.2,63.1,0.0,17.3,44.7,52.4,40.8,313.0,139.0,33.0,19.0,48.0,1,57,43,32,0,2,0,17.0,17.0,12.0,59,43,33,54,39,28,61,44,28,57,43,27,54,43,31,17.91,56.54,53.31,100.0,68.19,9.14,53.73,95.9,8.25,1.65,3.24,0.8,232.63,45.5,20.0,48739.0,1072.0,990923.0,77.93,13.64,946.0,24.61,6.08,48.34,47.11,16.35
Bidar,42933,45.4,29.3,5.0,85.0,1.16,Bidar,Kalaburagi,Bidar,Bidar,Bidar,98.8,56.5,7.1,73.8,45.0,19.2,36.8,22.1,36.1,69.3,55.9,64.6,0.7,16.3,35.4,43.6,33.0,250.0,115.0,19.0,11.0,50.0,1,56,35,29,1,-2,0,19.0,30.0,29.0,58,36,29,58,31,26,60,32,28,54,29,28,54,34,28,22.5,46.8,52.89,83.84,50.23,4.69,11.47,63.04,9.53,1.32,5.15,1.39,231.96,87.8,30.26,130923.0,1491.0,1703300.0,70.51,16.42,956.0,25.92,16.68,44.26,55.78,22.68
Chamarajanagara,30176,50.67,27.63,10.0,90.0,6.26,Chamarajanagara,Mysuru,Chamarajanagar,Chamarajanagar,Chamarajanagar,98.7,75.2,21.8,72.4,41.7,19.3,32.2,18.0,28.7,68.7,46.3,75.0,0.0,30.4,45.0,62.0,35.3,290.0,127.0,30.0,16.0,46.0,1,63,39,31,6,4,1,5.0,27.0,20.0,65,42,31,66,41,31,60,36,28,64,37,29,59,36,30,21.3,49.93,59.22,99.63,56.32,16.69,32.27,96.69,4.97,1.72,3.46,1.47,236.14,70.9,14.66,57771.0,815.0,1020791.0,61.43,12.11,993.0,26.21,11.4,48.99,60.33,21.93
Chikkaballapura,36335,48.73,27.87,10.0,85.0,2.92,Chikkaballapura,Bengaluru,Chikkaballapura,Chikkaballapura,Chikkaballapur,99.9,84.9,14.6,76.3,48.0,27.1,31.3,16.1,25.2,59.0,45.5,70.7,0.2,15.2,36.9,44.8,28.3,304.0,137.0,30.0,14.0,48.0,1,60,41,30,2,-2,-1,13.0,25.0,24.0,64,43,30,64,40,29,63,37,27,68,37,28,53,38,31,17.59,47.17,59.59,99.39,53.33,7.01,26.67,93.54,4.19,1.37,2.73,0.79,228.43,43.7,13.62,64241.0,1470.0,1255104.0,69.76,15.08,972.0,27.73,14.13,53.98,64.22,16.68
Chikkamagaluru,28894,60.08,26.65,20.0,95.0,3.17,Chikkamagaluru,Mysuru,Chikmagalur,Chikmagalur,Chikkamagaluru,99.3,92.3,10.4,82.9,48.3,19.5,27.3,24.9,25.4,53.2,40.8,73.0,0.0,46.0,53.2,76.9,49.9,308.0,147.0,25.0,17.0,44.0,1,61,43,33,2,1,2,9.0,17.0,8.0,64,45,33,66,39,30,68,48,29,61,41,27,57,39,30,15.39,50.24,56.94,100.0,77.12,9.02,32.49,94.86,7.0,1.26,3.38,1.67,228.74,45.8,13.14,61520.0,1342.0,1137961.0,79.25,8.33,1008.0,24.31,4.47,52.63,46.53,15.73
Chitradurga,87338,42.41,29.06,5.0,85.0,3.41,Chitradurga,Bengaluru,Chitradurga,Chitradurga,Chitradurga,99.8,63.1,27.2,75.6,48.3,20.7,36.0,17.9,32.4,61.1,44.6,80.1,0.0,18.9,52.2,48.8,36.5,300.0,140.0,30.0,16.0,45.0,1,61,38,33,6,1,0,9.0,28.0,8.0,62,39,33,63,35,29,63,37,33,75,36,29,60,37,33,20.1,49.42,56.39,99.71,57.86,8.75,62.15,96.51,8.22,1.27,2.96,0.87,231.64,67.3,12.68,117651.0,1749.0,1659456.0,73.71,13.57,974.0,25.09,19.88,54.9,60.04,23.47
Dakshina Kannada,1623,72.92,22.31,40.0,95.0,4.8,Dakshina Kannada,Mysuru,Dakshina Kannada,Dakshina Kannada,Dakshina Kannada,99.8,97.1,11.0,92.7,62.8,4.9,25.1,30.5,26.4,51.1,38.8,60.4,0.0,50.0,58.9,74.7,40.8,347.0,148.0,33.0,27.0,54.0,1,59,48,35,4,3,2,15.0,5.0,4.0,58,48,33,57,41,31,63,41,30,60,45,31,60,48,37,24.61,80.31,67.33,100.0,94.62,17.29,91.4,86.83,10.14,2.58,4.8,1.1,235.88,101.8,24.44,113587.0,1116.0,2089649.0,88.57,4.89,1020.0,8.17,5.07,50.85,7.57,9.18
