district,block,cluster,gp,n_students,pct_mean,pct_sd,gp_id,pct_floor,pct_p90,gender_gap_pp
Bagalkote,B0008 badami,C0204 beluru,1201 belur,396,50.76,29.41,1201,10.0,90.0,6.94
Bagalkote,B0008 badami,C0204 beluru,4246 mangalur,400,40.0,26.85,4246,5.0,80.0,-1.3
Bagalkote,B0008 badami,C0568 halakurki,2327 halakurki,254,38.39,24.7,2327,5.0,75.0,0.39
Bagalkote,B0008 badami,C0568 halakurki,3546 kendur,431,73.05,21.82,3546,40.0,95.0,6.8
Bagalkote,B0008 badami,C0568 halakurki,510 adagal,740,73.3,21.71,510,40.0,95.0,0.46
Bagalkote,B0008 badami,C0578 haligeri,213009165 haligeri,352,58.49,22.9,213009165,30.0,90.0,3.54
Bagalkote,B0008 badami,C0578 haligeri,3215 kainakatti,83,53.25,28.66,3215,11.0,89.0,4.12
Bagalkote,B0008 badami,C0600 hansanur,2427 hansnoor,327,53.56,26.68,2427,15.0,85.0,3.01
Bagalkote,B0008 badami,C0600 hansanur,3531 kelawadi,271,40.94,22.48,3531,10.0,75.0,-0.39
Bagalkote,B0008 badami,C0634 hebballi,3631 kittali,312,59.41,23.99,3631,25.0,90.0,0.81
Bagalkote,B0008 badami,C0634 hebballi,6294 hebballi,285,71.91,20.61,6294,45.0,95.0,4.97
Bagalkote,B0008 badami,C0634 hebballi,633 alur sk,377,56.49,27.16,633,15.0,90.0,8.12
Bagalkote,B0008 badami,C0708 housur,3025 jalihal,236,48.96,30.32,3025,5.0,90.0,6.2
Bagalkote,B0008 badami,C0911 katageri,2420 hangaragi,361,45.83,25.01,2420,15.0,80.0,6.73
Bagalkote,B0008 badami,C0911 katageri,3038 jammanakatti,309,62.56,25.71,3038,25.0,90.0,7.62
Bagalkote,B0008 badami,C0911 katageri,3479 katageri,363,62.7,24.45,3479,26.0,90.0,-1.22
Bagalkote,B0008 badami,C1960 cholachagudda,1670 cholachagudda,513,62.6,24.52,1670,21.0,85.0,2.53
Bagalkote,B0008 badami,C1960 cholachagudda,213009333 kataraki,320,85.64,15.28,213009333,65.0,100.0,-0.34
Bagalkote,B0008 badami,C2189 inam hullikeri,2853 hullikeri inam,491,53.08,27.65,2853,15.0,90.0,3.75
Bagalkote,B0008 badami,C2228 kagalgomba,2764 hoolageri,419,74.83,21.94,2764,45.0,95.0,-2.91
Bagalkote,B0008 badami,C2228 kagalgomba,5534 sulikeri,335,55.64,23.23,5534,22.0,85.0,1.73
Bagalkote,B0008 badami,C2335 kulageri cross,213009605 narsapura,139,30.58,23.55,213009605,0.0,70.0,3.95
Bagalkote,B0008 badami,C2335 kulageri cross,3221 kakanur,253,81.34,23.28,3221,55.0,100.0,3.04
Bagalkote,B0008 badami,C2335 kulageri cross,3590 khanapur sk,242,40.1,24.64,3590,10.0,75.0,-1.0
Bagalkote,B0008 badami,C2358 layadagundi,2313 haladur,456,85.56,13.37,2313,70.0,100.0,0.05
