district,block,cluster,gp,year,year_n,n_students,pct_mean,pct_sd,gp_id,pct_floor,pct_p90,gender_gap_pp
Bagalkote,B0008 badami,C0204 beluru,1201 belur,2022-23,2022,94,66.33,25.98,1201,24.5,95.0,8.35
Bagalkote,B0008 badami,C0204 beluru,1201 belur,2023-24,2023,141,42.77,27.88,1201,10.0,85.0,5.29
Bagalkote,B0008 badami,C0204 beluru,1201 belur,2024-25,2024,161,48.66,29.33,1201,10.0,90.0,4.08
Bagalkote,B0008 badami,C0204 beluru,4246 mangalur,2023-24,2023,186,38.12,24.88,4246,5.0,75.0,-0.7
Bagalkote,B0008 badami,C0204 beluru,4246 mangalur,2024-25,2024,214,41.64,28.41,4246,5.0,80.0,-1.87
Bagalkote,B0008 badami,C0568 halakurki,2327 halakurki,2024-25,2024,254,38.39,24.7,2327,5.0,75.0,0.39
Bagalkote,B0008 badami,C0568 halakurki,3546 kendur,2023-24,2023,195,71.26,23.71,3546,30.0,95.0,5.63
Bagalkote,B0008 badami,C0568 halakurki,3546 kendur,2024-25,2024,236,74.53,20.05,3546,50.0,95.0,7.6
Bagalkote,B0008 badami,C0568 halakurki,510 adagal,2022-23,2022,118,79.53,15.54,510,60.0,95.0,1.27
Bagalkote,B0008 badami,C0568 halakurki,510 adagal,2023-24,2023,299,66.39,25.85,510,24.0,95.0,-3.84
Bagalkote,B0008 badami,C0568 halakurki,510 adagal,2024-25,2024,323,77.43,17.31,510,55.0,95.0,4.23
Bagalkote,B0008 badami,C0578 haligeri,213009165 haligeri,2022-23,2022,96,65.52,23.57,213009165,32.5,95.0,3.17
Bagalkote,B0008 badami,C0578 haligeri,213009165 haligeri,2023-24,2023,124,54.76,24.22,213009165,16.5,85.0,4.18
Bagalkote,B0008 badami,C0578 haligeri,213009165 haligeri,2024-25,2024,132,56.89,20.0,213009165,30.0,85.0,3.24
Bagalkote,B0008 badami,C0578 haligeri,3215 kainakatti,2024-25,2024,83,53.25,28.66,3215,11.0,89.0,4.12
Bagalkote,B0008 badami,C0600 hansanur,2427 hansnoor,2022-23,2022,90,59.67,26.92,2427,20.0,90.0,-1.08
Bagalkote,B0008 badami,C0600 hansanur,2427 hansnoor,2023-24,2023,142,45.28,27.43,2427,10.5,80.0,0.68
Bagalkote,B0008 badami,C0600 hansanur,2427 hansnoor,2024-25,2024,95,60.16,21.69,2427,25.0,85.0,8.75
Bagalkote,B0008 badami,C0600 hansanur,3531 kelawadi,2023-24,2023,157,37.58,21.43,3531,13.0,72.0,-0.65
Bagalkote,B0008 badami,C0600 hansanur,3531 kelawadi,2024-25,2024,114,45.57,23.16,3531,11.5,75.0,0.3
Bagalkote,B0008 badami,C0634 hebballi,3631 kittali,2023-24,2023,144,65.52,23.73,3631,35.0,95.0,-1.99
Bagalkote,B0008 badami,C0634 hebballi,3631 kittali,2024-25,2024,168,54.17,23.01,3631,20.0,81.5,2.89
Bagalkote,B0008 badami,C0634 hebballi,6294 hebballi,2023-24,2023,145,71.66,22.36,6294,42.0,95.0,6.27
Bagalkote,B0008 badami,C0634 hebballi,6294 hebballi,2024-25,2024,140,72.18,18.71,6294,50.0,95.0,3.55
Bagalkote,B0008 badami,C0634 hebballi,633 alur sk,2023-24,2023,172,51.34,27.69,633,10.0,85.0,1.72
Bagalkote,B0008 badami,C0634 hebballi,633 alur sk,2024-25,2024,205,60.8,26.0,633,25.0,90.0,13.23
Bagalkote,B0008 badami,C0708 housur,3025 jalihal,2022-23,2022,92,69.02,27.15,3025,25.0,95.0,-0.05
Bagalkote,B0008 badami,C0708 housur,3025 jalihal,2023-24,2023,144,36.15,24.85,3025,5.0,73.5,7.6
Bagalkote,B0008 badami,C0911 katageri,2420 hangaragi,2023-24,2023,183,46.56,24.31,2420,15.0,80.0,7.61
Bagalkote,B0008 badami,C0911 katageri,2420 hangaragi,2024-25,2024,178,45.08,25.76,2420,10.0,80.0,5.8
Bagalkote,B0008 badami,C0911 katageri,3038 jammanakatti,2023-24,2023,146,77.53,13.84,3038,60.0,95.0,7.92
Bagalkote,B0008 badami,C0911 katageri,3038 jammanakatti,2024-25,2024,163,49.14,26.5,3038,15.0,85.0,5.39
Bagalkote,B0008 badami,C0911 katageri,3479 katageri,2022-23,2022,125,71.28,18.38,3479,50.0,95.0,1.26
Bagalkote,B0008 badami,C0911 katageri,3479 katageri,2023-24,2023,104,44.95,23.19,3479,20.0,85.0,0.31
Bagalkote,B0008 badami,C0911 katageri,3479 katageri,2024-25,2024,134,68.47,23.38,3479,31.5,95.0,-1.63
Bagalkote,B0008 badami,C1960 cholachagudda,1670 cholachagudda,2023-24,2023,140,70.21,14.99,1670,50.0,85.0,-2.51
Bagalkote,B0008 badami,C1960 cholachagudda,1670 cholachagudda,2024-25,2024,373,59.75,26.71,1670,15.0,90.0,3.33
Bagalkote,B0008 badami,C1960 cholachagudda,213009333 kataraki,2023-24,2023,135,80.41,13.31,213009333,60.0,95.0,-3.04
Bagalkote,B0008 badami,C1960 cholachagudda,213009333 kataraki,2024-25,2024,185,89.46,15.52,213009333,70.0,100.0,0.93
Bagalkote,B0008 badami,C2189 inam hullikeri,2853 hullikeri inam,2023-24,2023,267,66.01,23.45,2853,30.0,95.0,7.49
Bagalkote,B0008 badami,C2189 inam hullikeri,2853 hullikeri inam,2024-25,2024,224,37.66,24.19,2853,6.5,70.0,-5.06
Bagalkote,B0008 badami,C2228 kagalgomba,2764 hoolageri,2023-24,2023,190,65.92,19.77,2764,40.0,90.0,-4.16
Bagalkote,B0008 badami,C2228 kagalgomba,2764 hoolageri,2024-25,2024,229,82.23,20.92,2764,55.0,100.0,-2.08
Bagalkote,B0008 badami,C2228 kagalgomba,5534 sulikeri,2023-24,2023,203,51.08,23.17,5534,20.0,84.0,-2.05
Bagalkote,B0008 badami,C2228 kagalgomba,5534 sulikeri,2024-25,2024,132,62.65,21.6,5534,30.0,90.0,6.0
Bagalkote,B0008 badami,C2335 kulageri cross,213009605 narsapura,2024-25,2024,139,30.58,23.55,213009605,0.0,70.0,3.95
Bagalkote,B0008 badami,C2335 kulageri cross,3221 kakanur,2024-25,2024,253,81.34,23.28,3221,55.0,100.0,3.04
Bagalkote,B0008 badami,C2335 kulageri cross,3590 khanapur sk,2024-25,2024,242,40.1,24.64,3590,10.0,75.0,-1.0
Bagalkote,B0008 badami,C2358 layadagundi,2313 haladur,2023-24,2023,208,84.18,14.02,2313,70.0,100.0,-1.12
Bagalkote,B0008 badami,C2358 layadagundi,2313 haladur,2024-25,2024,248,86.71,12.71,2313,70.0,100.0,1.14
Bagalkote,B0008 badami,C2358 layadagundi,4011 layadagundi,2023-24,2023,191,84.58,13.2,4011,65.0,100.0,-0.99
